sep=;
#;id;english_name;current_ru;recommended_ru;action;compare_status;wiki_page;source_type;source_url;confidence;note
88;char_SHINEGREYMON;ShineGreymon;Шайн Греймон;Шайн Греймон;keep;ok;Shine Greymon;local_current;;high;Already matches the selected Russian reference.
89;char_SHINEGREYMON_BIG;ShineGreymon;Шайн Греймон;Шайн Греймон;keep;ok;Shine Greymon;local_current;;high;Already matches the selected Russian reference.
90;char_MIRAGEGAOGAMON;MirageGaogamon;Мираж Гаогамон;Мираж Гаогамон;keep;ok;Mirage Gaogamon;local_current;;high;Already matches the selected Russian reference.
91;char_PATAMON;Patamon;Патамон;Патамон;keep;ok;Patamon;local_current;;high;Already matches the selected Russian reference.
92;char_PICODEVIMON;DemiDevimon;Пико Девимон;Пико Девимон;keep;ok;Pico Devimon;local_current;;high;Already matches the selected Russian reference.
93;char_JUMBOGAMEMON;JumboGamemon;ДжамбоГамемон;ДжамбоГамемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
94;char_WENDIMON;Wendigomon;Вендимон;Вендимон;keep;ok;Wendimon;local_current;;high;Already matches the selected Russian reference.
95;char_HOLYANGEMON;MagnaAngemon;Холи Ангемон;Холи Ангемон;keep;ok;Holy Angemon;local_current;;high;Already matches the selected Russian reference.
96;char_TURUIEMON;Turuiemon;Туруйемон;Туруйемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
97;char_GANIMON;Crabmon;Ганимон;Ганимон;keep;ok;Ganimon;local_current;;high;Already matches the selected Russian reference.
98;char_SUSANOOMON;Susanomon;Сусаноомон;Сусаноомон;keep;ok;Susanoomon;local_current;;high;Already matches the selected Russian reference.
99;char_DUKEMON_CM;Gallantmon CM;Дюкмон: Багровый режим;Дюкмон: Багровый режим;keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/detail.php?directory_name=dukemoncrimsonmode;medium;CM = Crimson Mode. Mode abbreviation expanded from official English naming.
100;char_ARMAGEMON;Armageddemon;Армагемон;Армагемон;keep;ok;Armagemon;local_current;;high;Already matches the selected Russian reference.
101;char_LADYDEVIMON;LadyDevimon;Леди Девимон;Леди Девимон;keep;ok;Lady Devimon;local_current;;high;Already matches the selected Russian reference.
102;char_GOBURIMON;Goblimon;Гобуримон;Гобуримон;keep;ok;Goburimon;local_current;;high;Already matches the selected Russian reference.
103;char_DORUMON;Dorumon;Дорумон;Дорумон;keep;ok;DORUmon;local_current;;high;Already matches the selected Russian reference.
104;char_GOLDNUMEMON;GoldNumemon;ГолдНумемон;ГолдНумемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
105;char_V-MON;Veemon;Ви-мон;Ви-мон;keep;ok;V-mon;local_current;;high;Already matches the selected Russian reference.
106;char_BAOHUCKMON;BaoHuckmon;Бао Хакмон;Бао Хакмон;keep;ok;Bao Huckmon;local_current;;high;Already matches the selected Russian reference.
107;char_SAVIORHUCKMON;SaviorHuckmon;Сэйвиор Хакмон;Сэйвиор Хакмон;keep;ok;Savior Huckmon;local_current;;high;Already matches the selected Russian reference.
108;char_VALDURMON;Varodurumon;Вальдурмон;Вальдурмон;keep;ok;Valdurmon;local_current;;high;Already matches the selected Russian reference.
109;char_CHAOSMONVALDURARM;Chaosmon: Valdur Arm;Хаосмон: Рука Валдура;Хаосмон: Рука Валдура;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
110;char_DUKEMON;Gallantmon;Дюкмон;Дюкмон;keep;ok;Dukemon;local_current;;high;Already matches the selected Russian reference.
111;char_DUKEMON_BIG;Gallantmon;Дюкмон;Дюкмон;keep;ok;Dukemon;local_current;;high;Already matches the selected Russian reference.
112;char_KINGETEMON;KingEtemon;КингЕтемон;КингЕтемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
113;char_TYRANTKABUTERIMON;TyrantKabuterimon;Тиран Кабутеримон;Тиран Кабутеримон;keep;ok;Tyrant Kabuterimon;local_current;;high;Already matches the selected Russian reference.
114;char_TYRANTKABUTERIMON_BIG;TyrantKabuterimon;Тиран Кабутеримон;Тиран Кабутеримон;keep;ok;Tyrant Kabuterimon;local_current;;high;Already matches the selected Russian reference.
115;char_DAGOMON;Dragomon;Дагомон;Дагомон;keep;ok;Dagomon;local_current;;high;Already matches the selected Russian reference.
116;char_COELAMON;Coelamon;Целамон;Целамон;keep;ok;Coelamon;local_current;;high;Already matches the selected Russian reference.
117;char_MEGASEADRAMON;MegaSeadramon;Мега Сидрамон;Мега Сидрамон;keep;ok;Mega Seadramon;local_current;;high;Already matches the selected Russian reference.
118;char_WARUSEADRAMON;WaruSeadramon;ВарСидрамон;ВарСидрамон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
119;char_MEGAGROWLMON;WarGrowlmon;Мегало Граумон;Мегало Граумон;keep;ok;Megalo Growmon;local_current;;high;Already matches the selected Russian reference.
120;char_METALGARURUMON;MetalGarurumon;Метал Гарурумон;Метал Гарурумон;keep;ok;Metal Garurumon;local_current;;high;Already matches the selected Russian reference.
121;char_CORONAMON;Coronamon;Коронамон;Коронамон;keep;ok;Coronamon;local_current;;high;Already matches the selected Russian reference.
122;char_FIRAMON;Firamon;Фирамон;Фирамон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
123;char_FLAREMON;Flaremon;Флэремон;Флэремон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
124;char_LIGHDRAMON;Lighdramon;Лайдрамон;Лайдрамон;keep;ok;Lighdramon;local_current;;high;Already matches the selected Russian reference.
125;char_WEREGARURUMON;WereGarurumon;ВерГарурумон;ВерГарурумон;keep;ok;Were Garurumon;local_current;;high;Already matches the selected Russian reference.
126;char_HOLSMON;Halsemon;Холсмон;Холсмон;keep;ok;Holsmon;local_current;;high;Already matches the selected Russian reference.
127;char_SHURIMON;Shurimon;Сюримон;Сюримон;keep;ok;Shurimon;local_current;;high;Already matches the selected Russian reference.
128;char_DIGMON;Digmon;Дигмон;Дигмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
129;char_SABMARIMON;Submarimon;Субмаримон;Субмаримон;keep;ok;Submarimon;local_current;;high;Already matches the selected Russian reference.
130;char_PEGASMON;Pegasusmon;Пегасмон;Пегасмон;keep;ok;Pegasmon;local_current;;high;Already matches the selected Russian reference.
131;char_NEFERTIMON;Nefertimon;Нефертимон;Нефертимон;keep;ok;Nefertimon;local_current;;high;Already matches the selected Russian reference.
132;char_ANGEWOMON;Angewomon;Ангевумон;Ангевумон;keep;ok;Angewomon;local_current;;high;Already matches the selected Russian reference.
133;char_OROCHIMON;Orochimon;Оротимон;Оротимон;keep;ok;Orochimon;local_current;;high;Already matches the selected Russian reference.
134;char_CHAOSDUKEMON;ChaosGallantmon;ХаосГаллантмон;ХаосГаллантмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
135;char_GABUMON;Gabumon;Габумон;Габумон;keep;ok;Gabumon;local_current;;high;Already matches the selected Russian reference.
136;char_RANAMON;Lanamon;Ранамон;Ранамон;keep;ok;Ranamon;local_current;;high;Already matches the selected Russian reference.
137;char_CALAMARAMON;Calmaramon;Кальмарамон;Кальмарамон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
138;char_CALAMARAMON_ADD;Calmaramon (Mantle);Кальмарамон (Мантия);Кальмарамон (Мантия);keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
139;char_JUPITERMON;Jupitermon;Юпитермон;Юпитермон;keep;ok;Jupitermon;local_current;;high;Already matches the selected Russian reference.
140;char_JUPITERMON_WRATHMODE;Jupitermon WM;Юпитермон: Режим гнева;Юпитермон: Режим гнева;keep;ok;Jupitermon: Wrath Mode;local_current;;high;Already matches the selected Russian reference.
141;char_JUPITERMON_WRATHMODE_SUB;Jupitermon: Wrath Mode;Юпитермон: Режим гнева;Юпитермон: Режим гнева;keep;ok;Jupitermon: Wrath Mode;local_current;;high;Already matches the selected Russian reference.
142;char_JUNOMON;Junomon;Юномон;Юномон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
143;char_JUNOMON_HYSTERICMODE;Junomon HM;Юномон: Истерический режим;Юномон: Истерический режим;keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/;medium;HM = Hysteric Mode. Mode abbreviation expanded from official English naming.
144;char_JUNOMON_HYSTERICMODE_ADD;Junomon HM (Lances);Юномон: Истерический режим (копья);Юномон: Истерический режим (копья);keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/;medium;"HM = Hysteric Mode. Mode abbreviation expanded; local form suffix preserved."
145;char_VENUSMON;Venusmon;Венусмон;Венусмон;keep;ok;Venusmon;local_current;;high;Already matches the selected Russian reference.
146;char_APOLLOMON;Apollomon;Аполломон;Аполломон;keep;ok;Apollomon;local_current;;high;Already matches the selected Russian reference.
147;char_APOLLOMON_ADD;Apollomon (Flame Sphere);Аполломон (огненная сфера);Аполломон (огненная сфера);keep;different;Apollomon;ru_digimon_fandom;https://digimon.fandom.com/ru/wiki/Apollomon;medium;"Russian Digimon Wiki/Fandom is used as a broad community localization fallback; no complete official Russian glossary was found. Base name from source; local form suffix preserved."
148;char_MARSMON;Marsmon;Марсмон;Марсмон;keep;ok;Marsmon;local_current;;high;Already matches the selected Russian reference.
149;char_CERESMON;Ceresmon;Церемон;Церемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
150;char_BLUEMERAMON;BlueMeramon;Блю Мерамон;Блю Мерамон;keep;ok;Blue Meramon;local_current;;high;Already matches the selected Russian reference.
151;char_VULCANUSMON;Vulcanusmon;Вулканусмон;Вулканусмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
152;char_VULCANUSMON_BIG;Vulcanusmon;Вулканусмон;Вулканусмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
153;char_VULCANUSMON_GUEST_BIG;Vulcanusmon;Вулканусмон;Вулканусмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
154;char_BACCHUSMON;Bacchusmon;Вакхмон;Вакхмон;keep;ok;Bacchusmon;local_current;;high;Already matches the selected Russian reference.
155;char_PLUTOMON;Plutomon;Плутомон;Плутомон;keep;ok;Plutomon;local_current;;high;Already matches the selected Russian reference.
156;char_MERVAMON;Mervamon;Мервамон;Мервамон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
157;char_AEGIOMON;Aegiomon;Эгиомон;Эгиомон;keep;ok;Aegiomon;local_current;;high;Already matches the selected Russian reference.
158;char_AEGIOMON_PLAIN_CLOTHES;Aegiomon (Street Clothes);Эгиомон (уличная одежда);Эгиомон (уличная одежда);keep;different;Aegiomon;ru_digimon_fandom;https://digimon.fandom.com/ru/wiki/Aegiomon;medium;"Russian Digimon Wiki/Fandom is used as a broad community localization fallback; no complete official Russian glossary was found. Base name from source; local form suffix preserved."
159;char_AEGIOMON_NO_CAP;Aegiomon (Hatless Street Clothes);Эгиомон (уличная одежда без головного убора);Эгиомон (уличная одежда без головного убора);keep;different;Aegiomon;ru_digimon_fandom;https://digimon.fandom.com/ru/wiki/Aegiomon;medium;"Russian Digimon Wiki/Fandom is used as a broad community localization fallback; no complete official Russian glossary was found. Base name from source; local form suffix preserved."
160;char_AEGIOCHUSMON;Aegiochusmon;Эгиохмон;Эгиохмон;keep;ok;Aegiochusmon;local_current;;high;Already matches the selected Russian reference.
161;char_AEGIOCHUSMON_DARK;Aegiochusmon: Dark;Эгиохмон: Тёмный;Эгиохмон: Тёмный;keep;ok;Aegiochusmon: Dark;local_current;;high;Already matches the selected Russian reference.
162;char_AEGIOCHUSMON_HOLLY;Aegiochusmon: Holy;Эгиохмон: Святой;Эгиохмон: Святой;keep;ok;Aegiochusmon: Holy;local_current;;high;Already matches the selected Russian reference.
163;char_AEGIOCHUSMON_BLUE;Aegiochusmon: Blue;Эгиохмон: Синий;Эгиохмон: Синий;keep;ok;Aegiochusmon: Blue;local_current;;high;Already matches the selected Russian reference.
164;char_AEGIOCHUSMON_GREEN;Aegiochusmon: Green;Эгиохмон: Зелёный;Эгиохмон: Зелёный;keep;ok;Aegiochusmon: Green;local_current;;high;Already matches the selected Russian reference.
165;char_CERESMON_MEDIUM;Ceresmon Medium;Сересмон Медиум;Сересмон Медиум;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
166;char_RYUDAMON;Ryudamon;Рюдамон;Рюдамон;keep;ok;Ryudamon;local_current;;high;Already matches the selected Russian reference.
167;char_GINRYUMON;Ginryumon;Джинрюмон;Джинрюмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
168;char_HISYARYUMON;Hisyaryumon;Хисьярюмон;Хисьярюмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
169;char_OURYUMON;Ouryumon;Оурюмон;Оурюмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
170;char_GUNDRAMON;Gundramon;Гандрамон;Гандрамон;keep;ok;Gundramon;local_current;;high;Already matches the selected Russian reference.
171;char_GUNDRAMON_BIG;Gundramon;Гандрамон;Гандрамон;keep;ok;Gundramon;local_current;;high;Already matches the selected Russian reference.
172;char_BEELSTARMON;BeelStarmon;Вель Стармон;Вель Стармон;keep;ok;Beel Starmon;local_current;;high;Already matches the selected Russian reference.
173;char_PUKUMON;Pukumon;Пукумон;Пукумон;keep;ok;Pukumon;local_current;;high;Already matches the selected Russian reference.
174;char_CROSSMON;Eaglemon;Кроссмон;Кроссмон;keep;ok;Crossmon;local_current;;high;Already matches the selected Russian reference.
175;char_LOCOMON;Locomon;Локомон;Локомон;keep;ok;Locomon;local_current;;high;Already matches the selected Russian reference.
176;char_ARCHNEMON;Arukenimon;Арукенимон;Арукенимон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
177;char_DRACOMON;Dracomon;Дракомон;Дракомон;keep;ok;Dracomon;local_current;;high;Already matches the selected Russian reference.
178;char_COREDRAMON_GR;Coredramon (Green);Кордрамон (Зелёный);Кордрамон (Зелёный);keep;ok;Coredramon (Green);local_current;;high;Already matches the selected Russian reference.
179;char_WINGDRAMON;Wingdramon;Вингдрамон;Вингдрамон;keep;ok;Wingdramon;local_current;;high;Already matches the selected Russian reference.
