package,file,base_id,role,male_protagonist_text,female_protagonist_text,confidence,basis
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0750_0010,player_address,"Ого, где ты был? Давай! Ты звезда шоу, которая помогла вернуть
город!","Ого, где ты была? Давай! Ты звезда шоу, которая помогла вернуть
город!",1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0204_9010_0010,player_address,... Ты следующий? Очень хорошо! Ты готов?!,... Ты следующая? Очень хорошо! Ты готова?!,1.00,reviewed_player_address_v068
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0180_0050,player_address,"Подожди. Что это ты сказал? Срочное дело от Венусмона? У
Меркуримона чрезвычайная ситуация?!","Подожди. Что это ты сказала? Срочное дело от Венусмона? У
Меркуримона чрезвычайная ситуация?!",1.00,reviewed_player_address_v068
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0160_0040,player_address,"По сути, ты ДОЛЖЕН спасти меня в этот момент, тебе не кажется?!","По сути, ты ДОЛЖНА спасти меня в этот момент, тебе не кажется?!",1.00,reviewed_player_address_v068
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0304_0040_0060,player_address,"О, ты вернулся! Эй, что думаешь? Впечатляет, да?","О, ты вернулась! Эй, что думаешь? Впечатляет, да?",1.00,reviewed_player_address_v068
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0304_0040_0065,player_address,"О, ты вернулся, да?","О, ты вернулась, да?",1.00,reviewed_player_address_v068
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0305_0050_0010,player_address,"Что это? Ты пришел сюда, зная, что это наша база?","Что это? Ты пришла сюда, зная, что это наша база?",1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0401_0050_0010,player_address,Ты сделал это! Теперь мы можем перейти!,Ты сделала это! Теперь мы можем перейти!,1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0402_0130_0020,player_address,Ты пришёл на фестиваль?,Ты пришла на фестиваль?,1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0403_9000_0040,player_address,"Я думала, у меня есть шанс, но ты оказался слишком хорош.","Я думала, у меня есть шанс, но ты оказалась слишком хороша.",1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_0040_0030,player_address,Ты должен присоединиться к нам — своим подчинённым!,Ты должна присоединиться к нам — своим подчинённым!,1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_0130_0010,player_address,"Ты! Ты был в Центральном городе!...Эй, тебе не кажется, что вон
тот Дигимон такой клёвый?","Ты! Ты была в Центральном городе!...Эй, тебе не кажется, что вон
тот Дигимон такой клёвый?",1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_0290_0020,player_address,"Ты прав! Это место такое расслабляющее, и выпивка хорошая.","Ты права! Это место такое расслабляющее, и выпивка хорошая.",1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_9010_0050,player_address,"Фух, мне всё-таки удалось победить. Ты был непростым
соперником!","Фух, мне всё-таки удалось победить. Ты была непростой
соперницей!",1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0407_0010_0010,player_address,Ты нашёл меня...,Ты нашла меня...,1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0407_0010_0020,player_address,Чёрт. Ты нашёл меня...,Чёрт. Ты нашла меня...,1.00,reviewed_player_address_v068
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0407_0040_0030,operator,"Заблудился? Воспользуйся «Анализом» — может,
что-нибудь найдёшь.","Заблудилась? Воспользуйся «Анализом» — может,
что-нибудь найдёшь.",1.00,operator_addresses_player
patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0506_0190_0020,player_address,"Эй, где ты был?! Чемпион Колизея здесь!","Эй, где ты была?! Чемпион Колизея здесь!",1.00,reviewed_player_address_v068
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0180_0020,player_address,"Ты сказал, что ключ у Клависанджемона, верно?","Ты сказала, что ключ у Клависанджемона, верно?",1.00,reviewed_player_address_v068
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0230_0010,player_address,"А, ты вернулся! Другие камеры открылись, но эта по какой-то
причине оставалась закрытой...","А, ты вернулась! Другие камеры открылись, но эта по какой-то
причине оставалась закрытой...",1.00,reviewed_player_address_v068
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0350_0010,player_address,"Гех-гех-гех... Ты это видел? Я задал этим ангельским Дигимонам
хорошую трепку!","Гех-гех-гех... Ты это видела? Я задал этим ангельским Дигимонам
хорошую трепку!",1.00,reviewed_player_address_v068
patch_text01,message/d07.mbe/000_Sheet1.csv,f_d0701_0010_0400,player_address,"Если бы ты был рядом, я бы, пожалуй, решился, глурп!
Ладно, я сам отведу тебя к нему!","Если бы ты была рядом, я бы, пожалуй, решился, глурп!
Ладно, я сам отведу тебя к нему!",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0010_0010,player_address,Ты пришел...,Ты пришла...,1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0020_0018,player_address,"Ты готов, глурп?","Ты готова, глурп?",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0100_0020,player_address,"Эй, ты это видел?! Они ничуть не круче старого доброго Лорда
Плутомона!","Эй, ты это видела?! Они ничуть не круче старого доброго Лорда
Плутомона!",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0120_0038,player_address,"Так что же ты решил сделать? Тебе ДЕЙСТВИТЕЛЬНО нужно идти туда,
глурп?","Так что же ты решила сделать? Тебе ДЕЙСТВИТЕЛЬНО нужно идти туда,
глурп?",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0035_0100,player_address,"Ты уверен? Эти дигимоны, вероятно, нападут, если ты подойдешь
слишком близко...","Ты уверена? Эти дигимоны, вероятно, нападут, если ты подойдешь
слишком близко...",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0904_0240_0020,player_address,"Ты сделал это! Мы будем сражаться бок о бок с тобой. Время для
контратаки!","Ты сделала это! Мы будем сражаться бок о бок с тобой. Время для
контратаки!",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0010_0070,player_address,"О, вот ты где! Ты должен это послушать!","О, вот ты где! Ты должна это послушать!",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0080_0080,player_address,"Ты что-то сказал? Может быть, слова энтузиазма и решимости?
Держу пари, ты сказал, что приложишь все усилия!","Ты что-то сказала? Может быть, слова энтузиазма и решимости?
Держу пари, ты сказала, что приложишь все усилия!",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0090_0040,player_address,Тогда сейчас. Ты должен пройти через ворота.,Тогда сейчас. Ты должна пройти через ворота.,1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0906_0060_0100,player_address,Ты сделал это! Дыра исчезла!,Ты сделала это! Дыра исчезла!,1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0907_0110_0030,player_address,"...но я уверен, что мне не избежать этой участи. Отсюда нет
пути назад... Ты готов?","...но я уверен, что мне не избежать этой участи. Отсюда нет
пути назад... Ты готова?",1.00,reviewed_player_address_v068
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0907_0110_0060,player_address,"Я даже пытался уничтожить яйцо до своего рождения...
Но помнишь? Ты был единственным, кто меня остановил.","Я даже пытался уничтожить яйцо до своего рождения...
Но помнишь? Ты была единственной, кто меня остановил.",1.00,reviewed_player_address_v068
patch_text01,message/d12.mbe/000_Sheet1.csv,f_d1204_0190_0010,player_address,Это ты! Тот человек из прошлого! Ты был в безопасности?,Это ты! Тот человек из прошлого! Ты была в безопасности?,1.00,reviewed_player_address_v068
patch_text01,message/d12.mbe/000_Sheet1.csv,f_d1204_0620_0050,player_address,Ах! Но не забегай вперед! Ты должен работать!,Ах! Но не забегай вперед! Ты должна работать!,1.00,reviewed_player_address_v068
patch_text01,message/d13.mbe/000_Sheet1.csv,f_d1301_0320_0010,player_address,Ты сделал это! Это идентификационный номер руководителя!,Ты сделала это! Это идентификационный номер руководителя!,1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop096_0010_0010,player_address,"Благодарю, что заглянул, о путешественник во времени и пространстве.","Благодарю, что заглянула, о путешественница во времени и пространстве.",1.00,reviewed_player_address_v071
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop099_0010_0010,player_address,"Благодарю, что заглянул, о путешественник во времени и пространстве.","Благодарю, что заглянула, о путешественница во времени и пространстве.",1.00,reviewed_player_address_v071
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop165_0030_0010,player_address,"Ты уверен, что ничего не забыл?","Ты уверена, что ничего не забыла?",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop310_0010_0020,player_address,"Я номер 160 из 160 братьев Вейдемон, детище в семье! Приятно, что
ты вернулся!","Я номер 160 из 160 братьев Вейдемон, детище в семье! Приятно, что
ты вернулась!",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop310_0010_0030,player_address,"Я номер 160 из 160 братьев Вейдемон. Я слышал, ты был звездой в
заведении моего брата! И здесь удачи.","Я номер 160 из 160 братьев Вейдемон. Я слышал, ты была звездой в
заведении моего брата! И здесь удачи.",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop311_0010_0020,player_address,"Я номер 108 из 160 братьев Вейдемон. Приятно, что ты вернулся!","Я номер 108 из 160 братьев Вейдемон. Приятно, что ты вернулась!",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop311_0010_0030,player_address,"Я номер 108 из 160 братьев Вейдемон. Я слышал, ты был звездой в
заведении моего брата! И здесь удачи.","Я номер 108 из 160 братьев Вейдемон. Я слышал, ты была звездой в
заведении моего брата! И здесь удачи.",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop312_0010_0020,player_address,"Я 77-й номер из 160 братьев Вадемон. Приятно, что ты вернулся!","Я 77-й номер из 160 братьев Вадемон. Приятно, что ты вернулась!",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop312_0010_0030,player_address,"Я 77-й номер из 160 братьев Вейдемон. Я слышал, ты был звездой в
заведении моего брата! И здесь удачи.","Я 77-й номер из 160 братьев Вейдемон. Я слышал, ты была звездой в
заведении моего брата! И здесь удачи.",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop313_0010_0020,player_address,"Я номер 2 из 160 братьев Вейдемон. Приятно, что ты вернулся!","Я номер 2 из 160 братьев Вейдемон. Приятно, что ты вернулась!",1.00,reviewed_player_address_v068
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop313_0010_0030,player_address,"Я номер 2 из 160 братьев Вейдемон. Я слышал, ты был звездой в
заведении моего брата! И здесь удачи.","Я номер 2 из 160 братьев Вейдемон. Я слышал, ты была звездой в
заведении моего брата! И здесь удачи.",1.00,reviewed_player_address_v068
patch_text01,message/h03.mbe/000_Sheet1.csv,f_h0310_0020_0060,player_address,"Я слышал, ты был звездой в заведении моего брата! Вступительный
взнос составляет 5000 иен! Удачи!","Я слышал, ты была звездой в заведении моего брата! Вступительный
взнос составляет 5000 иен! Удачи!",1.00,reviewed_player_address_v068
patch_text01,message/m040.mbe/000_Sheet1.csv,m040_060_010,player_address,Ты в порядке? Ты ранен?,Ты в порядке? Ты ранена?,1.00,reviewed_player_address_v068
patch_text01,message/m050.mbe/000_Sheet1.csv,m050_010_072,player,Мне повезло — я сэкономил на жилье!{next},Мне повезло — я сэкономила на жилье!{next},1.00,player_self
patch_text01,message/m050.mbe/000_Sheet1.csv,m050_010_120,player_address,"Ты сказал кое-что, из-за чего это прозвучало так, будто
мы встречались раньше. Прости, я не помню.","Ты сказала кое-что, из-за чего это прозвучало так, будто
мы встречались раньше. Прости, я не помню.",1.00,reviewed_player_address_v068
patch_text01,message/m060.mbe/000_Sheet1.csv,m060_150_100,player,...Я только что стал свидетелем аномального явления.{next},...Я только что стала свидетельницей аномального явления.{next},1.00,player_self
patch_text01,message/m070.mbe/000_Sheet1.csv,m070_100_010,operator,"Агент {player}, я попыталась заново оценить текущую ситуацию.","Агент {player}, я попытался заново оценить текущую ситуацию.",1.00,operator_self_opposite_to_player
patch_text01,message/m080.mbe/000_Sheet1.csv,m080_020_070,player_address,"Ты же сказал вчера, что пойдёшь! Помнишь?","Ты же сказала вчера, что пойдёшь! Помнишь?",1.00,reviewed_player_address_v068
patch_text01,message/m080.mbe/000_Sheet1.csv,m080_040_030,player,Я приходил сюда с твоим отцом и встретил внизу дигимонов.{next},Я приходила сюда с твоим отцом и встретила внизу дигимонов.{next},1.00,player_self
patch_text01,message/m090.mbe/000_Sheet1.csv,m090_010_010,operator,"Похоже, ты почти не спал, агент {player}?","Похоже, ты почти не спала, агент {player}?",1.00,operator_addresses_player
patch_text01,message/m090.mbe/000_Sheet1.csv,m090_010_050,operator,"Неудивительно, что ты её понял. Ведь ты... тоже потерял
человека, который тебя вырастил. Из-за аномалии.","Неудивительно, что ты её поняла. Ведь ты... тоже потеряла
человека, который тебя вырастил. Из-за аномалии.",1.00,operator_addresses_player
patch_text01,message/m090.mbe/000_Sheet1.csv,m090_030_040,player_address,"Это не извинения, ясно?! Но ты ДОЛЖЕН отдать это ему!","Это не извинения, ясно?! Но ты ДОЛЖНА отдать это ему!",1.00,reviewed_player_address_v068
patch_text01,message/m100.mbe/000_Sheet1.csv,m100_060_020,player_address,"Ещё! Мне нужно стырить у них ещё вещей! Ты бы видел их лица!
Нья-ха-ха!","Ещё! Мне нужно стырить у них ещё вещей! Ты бы видела их лица!
Нья-ха-ха!",1.00,reviewed_player_address_v068
patch_text01,message/m120.mbe/000_Sheet1.csv,m120_040_010,operator,"Агент {player}... Я только что всё услышала.
Ты в Цифровом мире? Я правильно поняла?","Агент {player}... Я только что всё услышал.
Ты в Цифровом мире? Я правильно понял?",1.00,operator_self_opposite_to_player
patch_text01,message/m120.mbe/000_Sheet1.csv,m120_060_100,player_address,"Осмотр достопримечательностей? Ты уверен, что у тебя правильно
расставлены приоритеты...?","Осмотр достопримечательностей? Ты уверена, что у тебя правильно
расставлены приоритеты...?",1.00,reviewed_player_address_v068
patch_text01,message/m130.mbe/000_Sheet1.csv,m130_010_042,player,"...Я бы солгал, если бы сказал, что не нервничаю.{next}","...Я бы солгала, если бы сказала, что не нервничаю.{next}",1.00,player_self
patch_text01,message/m170.mbe/000_Sheet1.csv,m170_210_090,player_address,"Течение... Ты уверен, что Титаны сказали именно это?","Течение... Ты уверена, что Титаны сказали именно это?",1.00,reviewed_player_address_v068
patch_text01,message/m210.mbe/000_Sheet1.csv,m210_030_120,player_address,"Ч-Что случилось? Ты выглядишь, будто тебе больно... Ты ранен или
что?","Ч-Что случилось? Ты выглядишь, будто тебе больно... Ты ранена или
что?",1.00,reviewed_player_address_v068
patch_text01,message/m210.mbe/000_Sheet1.csv,m210_030_132,player,Для чего я вообще путешествовал во времени...?,Для чего я вообще путешествовала во времени...?,1.00,player_self
patch_text01,message/m210.mbe/000_Sheet1.csv,m210_033_020,player_address,"Ты выглядишь, будто тебе больно... Ты ранен или что?","Ты выглядишь, будто тебе больно... Ты ранена или что?",1.00,reviewed_player_address_v068
patch_text01,message/m260.mbe/000_Sheet1.csv,m260_080_310,player_address,"Ты уверен, что это хорошая идея? Если мы не пойдём, тогда,
вероятно, вместо нас придётся идти Венусмон.","Ты уверена, что это хорошая идея? Если мы не пойдём, тогда,
вероятно, вместо нас придётся идти Венусмон.",1.00,reviewed_player_address_v068
patch_text01,message/m300.mbe/000_Sheet1.csv,m300_010_060,operator,"Но ты, как никто другой, наверняка не забыл...","Но ты, как никто другой, наверняка не забыла...",1.00,operator_addresses_player
patch_text01,message/m340.mbe/000_Sheet1.csv,m340_020_160,operator,"Ты хоть понимаешь, что говоришь? Ты забыл, что на кону стоит
судьба мира?","Ты хоть понимаешь, что говоришь? Ты забыла, что на кону стоит
судьба мира?",1.00,operator_addresses_player
patch_text01,message/m360.mbe/000_Sheet1.csv,m360_070_100,player_address,"Ты сказал, что ты... из числа Меркуримона... Не так ли?","Ты сказала, что ты... из числа Меркуримона... Не так ли?",1.00,reviewed_player_address_v068
patch_text01,message/m410.mbe/000_Sheet1.csv,m410_023_031,player,Рад снова тебя видеть.{next},Рада снова тебя видеть.{next},1.00,player_self
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_030_020,operator,Ты наверняка уже понял...,Ты наверняка уже поняла...,1.00,operator_addresses_player
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_030_030,operator,"...понял, что ты не обычный человек.","...поняла, что ты не обычный человек.",1.00,operator_addresses_player
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_030_050,operator,Ты до сих пор хорошо справлялся со своей ролью.,Ты до сих пор хорошо справлялась со своей ролью.,1.00,operator_addresses_player
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_070_030,operator,"Ты — агент, ответственный за поддержание равновесия мира.","Ты — агент, ответственная за поддержание равновесия мира.",1.00,operator_addresses_player
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_080_070,operator,"Причина, по которой тебя принимают за Эгиомона, в том, что ты
изначально родился от него.","Причина, по которой тебя принимают за Эгиомона, в том, что ты
изначально родилась от него.",1.00,operator_addresses_player
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_100_080,player_address,"Ты пришёл помочь мне, не так ли?","Ты пришла помочь мне, не так ли?",1.00,reviewed_player_address_v068
patch_text01,message/m420.mbe/000_Sheet1.csv,m420_100_090,player_address,"Ты пришёл ободрить меня, сказать мне, чтобы я двигался вперёд и
перезапустил поток времени.","Ты пришла ободрить меня, сказать мне, чтобы я двигался вперёд и
перезапустил поток времени.",1.00,reviewed_player_address_v068
patch_text01,message/rumor_npc.mbe/000_Sheet1.csv,r_d1204_0010_0130,player_address,"Ты, там! Ты готов к этому?!","Ты, там! Ты готова к этому?!",1.00,reviewed_player_address_v068
patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_430,player_address,"Это скорее ощущение, так что объяснить трудно.
Как бы ты сделал эту футболку по-двадцатейшему?","Это скорее ощущение, так что объяснить трудно.
Как бы ты сделала эту футболку по-двадцатейшему?",1.00,reviewed_player_address_v068
patch_text01,message/s010_179.mbe/000_Sheet1.csv,s010_179_190,player_address,"Ты прав. Это я, Курои. Удивлён,
что ты меня узнал.","Ты права. Это я, Курои. Удивлён,
что ты меня узнала.",1.00,reviewed_player_address_v068
patch_text01,message/s010_180.mbe/000_Sheet1.csv,s010_180_440,player,{next}Я всё слышал.,{next}Я всё слышала.,1.00,player_self
patch_text01,message/s010_180.mbe/000_Sheet1.csv,s010_180_450,player_address,"Ты это сделал, да? Ну... это немного смущает.","Ты это сделала, да? Ну... это немного смущает.",1.00,reviewed_player_address_v068
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_140,player_address,"Дело в том... Я чувствую, что есть причина, по которой Титанов
больше нет, помимо всего, что ты сделал.","Дело в том... Я чувствую, что есть причина, по которой Титанов
больше нет, помимо всего, что ты сделала.",1.00,reviewed_player_address_v068
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_530,player_address,"Ты прав. Другого выхода нет. Прости нас, Шеллмон!","Ты права. Другого выхода нет. Прости нас, Шеллмон!",1.00,reviewed_player_address_v068
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_760,player_address,"Ты вернулся! Теперь ты можешь свободно плавать и находить это
водное растение?","Ты вернулась! Теперь ты можешь свободно плавать и находить это
водное растение?",1.00,reviewed_player_address_v068
patch_text01,message/s020_019.mbe/000_Sheet1.csv,s020_019_320,player_address,"Ну что? Ты готов спасти этого пойманного в ловушку Дигимона? Мне
нужно, чтобы ты показал мне дорогу.","Ну что? Ты готова спасти этого пойманного в ловушку Дигимона? Мне
нужно, чтобы ты показала мне дорогу.",1.00,reviewed_player_address_v068
patch_text01,message/s020_019.mbe/000_Sheet1.csv,s020_019_440,player_address,Ты вернулся?! И с тобой... Нет! Ты правда приносишь...?,Ты вернулась?! И с тобой... Нет! Ты правда приносишь...?,1.00,reviewed_player_address_v068
patch_text01,message/s020_173.mbe/000_Sheet1.csv,s020_173_440,player_address,"Эй! Ты не должен вздыхать! Мне просто нужно услышать еще одно
слово ободрения!","Эй! Ты не должна вздыхать! Мне просто нужно услышать еще одно
слово ободрения!",1.00,reviewed_player_address_v068
patch_text01,message/s030_029.mbe/000_Sheet1.csv,s030_029_080,player_address,"Тебе меня не одурачить. Ты и есть тот разведчик, о котором
я говорил, и по хитрому взгляду видно: ты всё знал!","Тебе меня не одурачить. Ты и есть та разведчица, о которой
я говорил, и по хитрому взгляду видно: ты всё знала!",1.00,reviewed_player_address_v068
patch_text01,message/s030_029.mbe/000_Sheet1.csv,s030_029_240,player_address,"Глурп, глурп... Ты уверен, что титанов нет, глурп? О, что мне
делать, глурп?!","Глурп, глурп... Ты уверена, что титанов нет, глурп? О, что мне
делать, глурп?!",1.00,reviewed_player_address_v068
patch_text01,message/s030_030.mbe/000_Sheet1.csv,s030_030_090,player_address,"Крик! Ты говоришь так, будто собираешься это проигнорировать!
Ты не можешь! Ты должен уйти!","Крик! Ты говоришь так, будто собираешься это проигнорировать!
Ты не можешь! Ты должна уйти!",1.00,reviewed_player_address_v068
patch_text01,message/s030_183.mbe/000_Sheet1.csv,s030_183_212,player,"{next}Рад, что сомнения развеялись.","{next}Рада, что сомнения развеялись.",1.00,player_self
patch_text01,message/s030_183.mbe/000_Sheet1.csv,s030_183_400,player_address,"Ах, какое облегчение! Похоже, ты пришёл в себя.","Ах, какое облегчение! Похоже, ты пришла в себя.",1.00,reviewed_player_address_v068
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_280,player_address,Ты готов? Пойдём побьём этого Титана!,Ты готова? Пойдём побьём этого Титана!,1.00,reviewed_player_address_v068
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_410,player_address,"Эй, ты готов? Тогда за дело!","Эй, ты готова? Тогда за дело!",1.00,reviewed_player_address_v068
patch_text01,message/s040_033.mbe/000_Sheet1.csv,s040_033_680,player_address,"Ого, ты прав! Так... «Давайте вместе принесём
мир Илиаде, только мы вдвоём!»","Ого, ты права! Так... «Давайте вместе принесём
мир Илиаде, только мы вдвоём!»",1.00,reviewed_player_address_v068
patch_text01,message/s040_160.mbe/000_Sheet1.csv,s040_160_200,player_address,"Эй, отличная работа! Ты пришел проведать меня?","Эй, отличная работа! Ты пришла проведать меня?",1.00,reviewed_player_address_v068
patch_text01,message/s050_043.mbe/000_Sheet1.csv,s050_043_640,player_address,... Это реально! Я в это не верю! Где ты это нашел?,... Это реально! Я в это не верю! Где ты это нашла?,1.00,reviewed_player_address_v068
patch_text01,message/s070_056.mbe/000_Sheet1.csv,s070_056_320,player_address,"А, ты вернулся. Ну что? Ты нашел для меня достойного Дигимона?","А, ты вернулась. Ну что? Ты нашла для меня достойного Дигимона?",1.00,reviewed_player_address_v068
patch_text01,message/s070_057.mbe/000_Sheet1.csv,s070_057_050,player_address,"Ты не готов? Ладно, тогда приходи, когда почувствуешь, что готов
к драке.","Ты не готова? Ладно, тогда приходи, когда почувствуешь, что готова
к драке.",1.00,reviewed_player_address_v068
patch_text01,message/s080_059.mbe/000_Sheet1.csv,s080_059_360,player_address,"Хехехе. Тут ты прав: чтобы сунуться в Космическую область,
энергии нужно с запасом.","Хехехе. Тут ты права: чтобы сунуться в Космическую область,
энергии нужно с запасом.",1.00,reviewed_player_address_v068
patch_text01,message/s095_082.mbe/000_Sheet1.csv,s095_082_600,player_address,Ты вернулся. И что это у тебя?,Ты вернулась. И что это у тебя?,1.00,polished_player_address_v071
