#,id,english_name,local_russian_name,wiki_page,wiki_russian_name,status,matched_by,matched_candidate,wiki_url
347,char_AGUMON_KIZUNA,Agumon (Bond of Bravery),Агумон (узы храбрости),Agumon,Агумон,different,candidate,Agumon,https://digimon.fandom.com/ru/wiki/Agumon
348,char_GABUMON_KIZUNA,Gabumon (Bond of Friendship),Габумон (узы дружбы),Gabumon,Габумон,different,candidate,Gabumon,https://digimon.fandom.com/ru/wiki/Gabumon
349,char_GREATGRYZMON,GreatGrizzlymon,ГрейтГриззлимон,,,no_wiki_match,,,
352,char_UNDEADPLUTOMON,ZombiePlutomon,ЗомбиПлутомон,,,no_wiki_match,,,
364,char_NANOMON,Datamon,Датамон,,,no_wiki_match,,,
367,char_FUGAMON,Fugamon,Фугамон,,,no_wiki_match,,,
368,char_HYOUGAMON,Hyogamon,Хиогамон,,,no_wiki_match,,,
381,char_VENOMMYOTISMON,VenomMyotismon,ВеномМиотисмон,,,no_wiki_match,,,
382,char_VENOMMYOTISMON_BIG,VenomMyotismon,ВеномМиотисмон,,,no_wiki_match,,,
383,char_WITCHMON,Witchmon,Витчмон,,,no_wiki_match,,,
384,char_WITCHMON_ADD,Witchmon (Left Arm),Витчмон (Левая Рука),,,no_wiki_match,,,
385,char_MISTYMON,Mistymon,Мистимон,,,no_wiki_match,,,
401,char_SLASHANGEMON,SlashAngemon,СлэшАнгемон,,,no_wiki_match,,,
403,char_MAGNAKIDMON,MagnaKidmon,МагнаКидмон,,,no_wiki_match,,,
404,char_AVENGEKIDMON,AvengeKidmon,АвенжКидмон,,,no_wiki_match,,,
412,char_KURISARIMON,Kurisarimon,Курисаримон,,,no_wiki_match,,,
414,char_DIABOROMON,Diaboromon,Диаборомон,,,no_wiki_match,,,
417,char_MAGNAGARURUMON_SEPARATION,MagnaGarurumon (Detached),Магна Гарурумон (открепленный),Magna Garurumon,Магна Гарурумон,different,candidate,MagnaGarurumon,https://digimon.fandom.com/ru/wiki/Magna_Garurumon
436,char_GROUNDLOCOMON,GroundLocomon,ГраундЛокомон,,,no_wiki_match,,,
439,char_ARMADILLOMON,Armadillomon,Армадилломон,,,no_wiki_match,,,
443,char_GARGOMON,Gargomon,Гаргомон,,,no_wiki_match,,,
445,char_FLAMEDRAMON,Flamedramon,Флэймдрамон,,,no_wiki_match,,,
450,char_RAPIDMON,Rapidmon,Рэпидмон,,,no_wiki_match,,,
451,char_SHAKKOUMON,Shakkoumon,Шаккумон,,,no_wiki_match,,,
453,char_ULTIMATEBRAKIMON,UltimateBrachiomon,УльтимаБрачиомон,,,no_wiki_match,,,
455,char_CANNONBEEMON,CannonBeemon,КэнонБиимон,,,no_wiki_match,,,
458,char_ICEDEVIMON,IceDevimon,АйсДевимон,,,no_wiki_match,,,
459,char_ANTYLAMON,Antylamon,Антиламон,,,no_wiki_match,,,
463,char_CRANIAMON,Craniamon,Краниамон,,,no_wiki_match,,,
464,char_CRANIAMON_BIG,Craniamon,Краниамон,,,no_wiki_match,,,
466,char_JUSTIMON,Justimon,Джастимон,,,no_wiki_match,,,
471,char_RAVEMON,Ravemon,Равемон,,,no_wiki_match,,,
474,char_LOTOSMON,Lotosmon,Лотосмон,,,no_wiki_match,,,
476,char_GAIOMON,Gaiomon,Гайомон,,,no_wiki_match,,,
477,char_TIGERVESPAMON,TigerVespamon,ТигерВеспамон,,,no_wiki_match,,,
478,char_MINERVAMON,Minervamon,Минервамон,,,no_wiki_match,,,
480,char_JESMON,Jesmon,Джесмон,,,no_wiki_match,,,
481,char_JESMON_BIG,Jesmon,Джесмон,,,no_wiki_match,,,
483,char_RAPIDMON_ARMOR,Rapidmon (Armor),Рапидмон (Броня),,,no_wiki_match,,,
484,char_RAPIDMON_ARMOR_BIG,Rapidmon (Armor),Рапидмон (Броня),,,no_wiki_match,,,
485,char_PLATINUM_SCUMON,PlatinumSukamon,ПлатинаСукамон,,,no_wiki_match,,,
486,char_BLACKKINGNUMEMON,BlackKingNumemon,БлэкКингНумемон,,,no_wiki_match,,,
491,char_ICEMON,Icemon,Айсмон,,,no_wiki_match,,,
492,char_TUCHIDARUMON,MudFrigimon,МудФригимон,,,no_wiki_match,,,
493,char_GUARDROMON_GL,Guardromon (Gold),Гардромон (золотой),Guardromon,Гардромон,different,candidate,Guardromon,https://digimon.fandom.com/ru/wiki/Guardromon
495,char_BACCHUSMON_DRUNK,Bacchusmon DM,Вакхмон: Режим опьянения,,,no_wiki_match,,,
498,char_CHAOSMON,Chaosmon,Хаосмон,,,no_wiki_match,,,
501,char_BEELZEMON_BM,Beelzemon BM,Вельзевумон: Бласт-режим,,,no_wiki_match,,,
502,char_BEELZEMON_BM_BIG,Beelzemon BM,Вельзевумон: Бласт-режим,,,no_wiki_match,,,
503,char_SHINEGREYMON_BM,ShineGreymon BM,Шайн Греймон: Взрывной режим,,,no_wiki_match,,,
505,char_RAVEMON_BM,Ravemon BM,Равемон: Взрывной режим,,,no_wiki_match,,,
506,char_ROSEMON_BM,Rosemon BM,Роузмон: Взрывной режим,,,no_wiki_match,,,
507,char_VULCANUS_LIGHTARM,Right Arm,Правая Рука,,,no_wiki_match,,,
508,char_VULCANUS_LEFTARM,Left Arm,Левая Рука,,,no_wiki_match,,,
509,char_CHRONOMONROBO_COMPLETE,Giant Slayer,Гигант Слейер,,,no_wiki_match,,,
510,char_CHRONOMON_BOSS_EVENT,Chronomon,Хрономон,,,no_wiki_match,,,
511,char_CHRONOMON_BOSS,Chronomon,Хрономон,,,no_wiki_match,,,
512,char_CHRONOMON_BOSS_WING,Chronomon (Wings),Хрономон (Крылья),,,no_wiki_match,,,
513,char_CHRONOMON_BOSS_ADD_RIGHTWING,Chronomon (R. Muzzle),Хрономон (П. Морда),,,no_wiki_match,,,
514,char_CHRONOMON_BOSS_ADD_LEFTWING,Chronomon (L. Muzzle),Хрономон (Л. Морда),,,no_wiki_match,,,
515,char_CHRONOMON_BOSS_LEFTARM,Chronomon (Left Arm),Хрономон (Левая рука),,,no_wiki_match,,,
516,char_CHRONOMON_BOSS_CORE,Chronomon (Core),Хрономон (Ядро),,,no_wiki_match,,,
517,char_CHRONOMON_BOSS_RIGHTWING,Chronomon (Right Wing),Хрономон (Правое крыло),,,no_wiki_match,,,
518,char_CHRONOMON_BOSS_LEFTWING,Chronomon (Left Wing),Хрономон (Левое крыло),,,no_wiki_match,,,
519,char_CHRONOMON_BOSS_LEFTARM1,Chronomon (Error A),Хрономон (Ошибка A),,,no_wiki_match,,,
520,char_CHRONOMON_BOSS_LEFTARM2,Chronomon (Error B),Хрономон (Ошибка B),,,no_wiki_match,,,
521,char_CHRONOMON_BOSS_LEFTARM3,Chronomon (Error C),Хрономон (Ошибка C),,,no_wiki_match,,,
522,char_CHRONOMON_BOSS_LEFTARM4,Chronomon (Error D),Хрономон (Ошибка D),,,no_wiki_match,,,
523,char_CHRONOMON_BOSS_LEFTARM5,Chronomon (Error E),Хрономон (Ошибка E),,,no_wiki_match,,,
524,char_CHRONOMON_BOSS_LEFTARM6,Chronomon (Error F),Хрономон (Ошибка F),,,no_wiki_match,,,
525,char_BLACKSHADOW,Dark Shadow,Темная Тень,,,no_wiki_match,,,
526,char_SHARKMON_BOSS,Sharkmon,Шаркмон,,,no_wiki_match,,,
527,char_SHARKMON_BOSS_ADD,Sharkmon (Jasper),Шаркмон (Джаспер),,,no_wiki_match,,,
528,char_SHARKMON,Sharkmon,Шаркмон,,,no_wiki_match,,,
529,char_SKULLSEADRAMON,SkullSeadramon,СкулСидрамон,,,no_wiki_match,,,
530,char_SKULLSEADRAMON_BOSS,SkullSeadramon,СкулСидрамон,,,no_wiki_match,,,
531,char_SKULLSEADRAMON_ADD,SkullSeadramon (Core),СкулСидрамон (Ядро),,,no_wiki_match,,,
533,char_CYCLONEMON_BIG,Cyclonemon,Циклонемон,,,no_wiki_match,,,
535,char_GREYMON_BIG_BL_ADD,Greymon (Blue) (Head Shell),Греймон (головной убор),Greymon,Греймон,different,candidate,Greymon,https://digimon.fandom.com/ru/wiki/Greymon
536,char_SKULLBALUCHIMON_TITAMON,Titamon + SkullBaluchimon,Титамон + СкаллБалучимон,,,no_wiki_match,,,
537,char_SKULLBALUCHIMON_TITAMON_BIG,Titamon + SkullBaluchimon,Титамон + СкаллБалучимон,,,no_wiki_match,,,
538,char_UNDEADPLUTOMON_BOSS,ZombiePlutomon,ЗомбиПлутомон,,,no_wiki_match,,,
539,char_UNDEADPLUTOMON_BOSS_ADD1,ZombiePlutomon (Right Shoulder),ЗомбиПлутомон (Правое плечо),,,no_wiki_match,,,
540,char_UNDEADPLUTOMON_BOSS_ADD2,ZombiePlutomon (Left Shoulder),ЗомбиПлутомон (Левое плечо),,,no_wiki_match,,,
541,char_UNDEADPLUTOMON_BOSS_ADD3,ZombiePlutomon (Right Hip),ЗомбиПлутомон (Правое бедро),,,no_wiki_match,,,
542,char_UNDEADPLUTOMON_BOSS_ADD4,ZombiePlutomon (Left Hip),ЗомбиПлутомон (Левое бедро),,,no_wiki_match,,,
543,char_CHARISMON_ADD,Callismon (Gun),Каллисмон (пистолет),Callismon,Каллисмон,different,candidate,Callismon,https://digimon.fandom.com/ru/wiki/Callismon
545,char_LOCOMON_EVENT,Locomon (Event),Локомон (событие),Locomon,Локомон,different,candidate,Locomon,https://digimon.fandom.com/ru/wiki/Locomon
546,char_ULTIMATEBRAKIMON_BIG,UltimateBrachiomon,УльтимаБрачиомон,,,no_wiki_match,,,
551,char_BLIMPMON_RAMP,Blimpmon (Trap),Блимпмон (Ловушка),,,no_wiki_match,,,
552,char_MASTERBLIMPMON_RAMP,MasterBlimpmon (Trap),МастерБлимпмон (Ловушка),,,no_wiki_match,,,
554,char_PARROTMON_BIG_ADD,Parrotmon (Crested),Пэрротмон (гребень),Parrotmon,Пэрротмон,different,candidate,Parrotmon,https://digimon.fandom.com/ru/wiki/Parrotmon
555,char_VULCANUSMON_ADD,Vulcanusmon,Вулканусмон,,,no_wiki_match,,,
556,char_METALGREYMON_BIG_BL,MetalGreymon (Blue),Металл Греймон (синий),Metal Greymon,Металл Греймон,different,candidate,MetalGreymon,https://digimon.fandom.com/ru/wiki/Metal_Greymon
559,char_MERCURYMON_BIG,Merukimon,Мерукимон,,,no_wiki_match,,,
562,char_CERESMON_BIG,Ceresmon,Церемон,,,no_wiki_match,,,
567,char_UKKOMON,Ukkomon,Уккомон,,,no_wiki_match,,,
569,char_FUGAMON_BOSS,Fugamon,Фугамон,,,no_wiki_match,,,
570,char_HYOUGAMON_BOSS,Hyogamon,Хиогамон,,,no_wiki_match,,,
