package,file,row_id,source_move,approved_ru,old,expected_count,source_sentence,current_sentence
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0180_profile,Hell's Gate,Врата ада,Хеллз Гейт,1,"In one of those moves, Hell's Gate, a giant mouth appears from the darkness and swallows enemies whole, and their data is broken down into scraps.","В одном из этих движений, «Хеллз Гейт», из тьмы появляется гигантская пасть и проглатывает врагов целиком, и их данные разбираются на лоскуты."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0192_profile,Legendary Dragon Blade,Клинок легендарного дракона,Легендари Драгон Блейд,1,"Hisyaryumon's special move is Legendary Dragon Blade, which transforms it into a giant steel blade to slice the enemy in half with a single stroke.","Особый приём Хисярюмона — «Легендари Драгон Блейд», которое превращает его в гигантский стальной клинок, чтобы рассечь врага пополам одним ударом."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0210_profile,Blaze Sonic Breath,Пылающее Звуковое Дыхание,Блейз Соник Бреф,1,"Wingdramon's special move is Blaze Sonic Breath, with which it breathes out a blast of scorching hot air faster than the speed of sound.","Особый приём Вингдрамона — «Блейз Соник Бреф», которым он выдыхает поток обжигающе горячего воздуха быстрее скорости звука."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0217_profile,Dark Explosion,Тёмный взрыв,Дарк Эксплоужн,1,"Its special move is Dark Explosion, which involves attacking with the shards of a supernova.","Его особый приём — «Дарк Эксплоужн», которое включает атаку осколками сверхновой звезды."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0229_profile,Heat Viper,Тепловая Гадюка,Хит Вайпер,1,"It can fire a deadly heat ray, Heat Viper, from its four arms.","Он может стрелять смертоносным тепловым лучом, «Хит Вайпер», из своих четырех рук."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0242_profile,Howling Hertz,Воющий Герц,Хаулинг Херц,1,Kapurimon uses its special move Howling Hertz to make its two horns resonate.,"Капуримон использует свой особый приём «Хаулинг Херц», чтобы заставить свои два рога резонировать."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0304_profile,Electro Shocker,Электрошокер,Электро Шокер,1,Its special move is Electro Shocker.,Его особый приём — «Электро Шокер».
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0307_profile,Spiral Twister,Спиральный Твистер,Спирал Твистер,1,"Biyomon's special move is Spiral Twister, an attack of spectral flames.","Особый приём Пиёмона — «Спирал Твистер», атака спектральным пламенем."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0308_profile,Meteor Wing,Метеоритное Крыло,Метеор Винг,1,"Birdramon's special move is Meteor Wing, flapping its wings to send feathers shooting down like meteors.","Особый приём Бирдрамона — «Метеор Винг», взмахи крыльями, чтобы посылать перья, стреляющие вниз, как метеоры."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0342_profile,Spiral Sword,Спиральный Меч,Спирал Сорд,1,It uses its special move Spiral Sword to fire an energy blade from its arm.,"Он использует свой особый приём «Спирал Сорд», чтобы выстрелить энергетическим лезвием из своей руки."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0344_profile,Harpoon Torpedo,Гарпунная торпеда,Харпун Торпедо,1,"Its special move is Harpoon Torpedo, with which it fires the horn on its head at the enemy, as the horn can be regrown.","Его особый приём — «Харпун Торпедо», которым он выстреливает рог со своей головы во врага, так как рог может отрасти снова."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0368_profile,Hydro Blaster,Гидробластер,Гидро Бластер,1,Its special move Hydro Blaster fires liquid at high pressure.,Его особый приём «Гидро Бластер» выпускает жидкость под высоким давлением.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0380_profile,Poop Bazooka,Какашечная Базука,Пуп Базука,1,Its special move Poop Bazooka is a vile attack fired from a bazooka Garbagemon made from empty cans.,"Его особый приём «Пуп Базука» — это гнусная атака, выпускаемая из базуки, которую Гарбейджмон сделал из пустых банок."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0385_profile,Infinity Cannon,Бесконечная Пушка,Инфинити Кэннон,1,Its special move Infinity Cannon fires super-dreadnought class energy blasts from both cannons.,Его особый приём «Инфинити Кэннон» выпускает энергетические взрывы класса сверхдредноута из обеих пушек.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0388_profile,Elastic Bubbles,Эластичные Пузырьки,Эластик Бабблз,1,Motimon uses its mochi-like Elastic Bubbles to restrict opponents' movement.,"Мотимон использует свои моти-подобные «Эластик Бабблз», чтобы ограничивать движение противников."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0398_profile,Chrono Breaker,Хроноразрушитель,Хроно Брейкер,1,It uses its special move Chrono Breaker to destroy the very time that flows in the enemy's body.,"Он использует свой особый приём «Хроно Брейкер», чтобы уничтожить само время, которое течет в теле врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0400_profile,Dragon Impulse,Импульс Дракона,Драгон Импульс,1,Its special move Dragon Impulse unleashes a shockwave in the shape of a dragon.,Его особый приём «Драгон Импульс» выпускает ударную волну в форме дракона.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0403_profile,The King of Fists,Король кулаков,Зе Кинг оф Фистс,1,Its special move The King of Fists spins the turbines on its arms so quickly that it's able to distort gravity with a single blow.,"Его особый приём «Зе Кинг оф Фистс» вращает турбины на его руках так быстро, что он способен искажать гравитацию одним ударом."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0405_profile,Talisman of Light,Талисман света,Талисман оф Лайт,1,It uses its special move Talisman of Light to paint a Sanskrit character in midair while chanting before hurling it at the enemy.,"Он использует свой особый приём «Талисман оф Лайт», чтобы нарисовать санскритский символ в воздухе, напевая, прежде чем швырнуть его в врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0406_profile,Heavy Metal Fire,Огонь тяжёлого металла,Хеви Метал Файр,1,SkullMeramon uses its special move Heavy Metal Fire to melt the heavy metals in its body and spit them at the enemy.,"СкаллМерамон использует свой особый приём «Хеви Метал Файр», чтобы расплавить тяжелые металлы в своем теле и выплюнуть их во врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0417_profile,The Ray of Victory,Луч победы,Зе Рэй оф Виктори,1,"Its special move is The Ray of Victory, with which it fires a beam of energy from the V-shaped armor on its chest to wipe out foes.","Его особый приём — «Зе Рэй оф Виктори», которым он выпускает луч энергии из V-образной брони на своей груди, чтобы стереть прочь врагов."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0422_profile,Infinity Cannon,Бесконечная Пушка,Гиперпушка бесконечности,1,Its special move Hyper Infinity Cannon fires super-dreadnought class energy blasts from both of its cannons.,Его особый прием «Гиперпушка бесконечности» выпускает энергетические залпы класса сверхдредноута из обеих пушек.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0425_profile,Amethyst Mandala,Аметистовая Мандала,Аметист Мандала,1,"It uses its special move Amethyst Mandala to strike the ground with its Kongou Shakujou staff, creating a purifying field that exorcises evil.","Она использует свой особый приём «Аметист Мандала», чтобы ударить своим посохом Конго Сякудзё о землю, создавая очищающее поле, которое изгоняет зло."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0709_profile,Black Pearl Blast,Взрыв Черного Жемчуга,Взрыв Чёрной Жемчужины,1,Its special move Black Pearl Blast fires jadeite formed in its body at the enemy.,"Его специальный приём «Взрыв Чёрной Жемчужины» выстреливает в врага жадеитом, сформированным в его теле."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0716_profile,Flaming Fist,Пылающий Кулак,Огненная Длань,1,Flamedramon uses its signature move Flaming Fist to pummel its opponents with fists of fire.,"Флеймдрамон использует свою фирменную технику «Огненная Длань», чтобы избивать своих противников кулаками из огня."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0724_profile,Brachio Bubble,Брахио-пузырь,Пузырь Брахио,1,Brachiomon uses its special move Brachio Bubble to spit countless bubbles that attack the enemy.,"Брахиомон использует свой специальный приём «Пузырь Брахио», чтобы выплюнуть бесчисленные пузыри, которые атакуют врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0732_profile,Mega Death,Мегасмерть,Мега Смерть,1,It uses its special move Mega Death to fire high-density dark matter that swallows everything into dark space.,"Он использует свой специальный приём «Мега Смерть», чтобы выстрелить высокоплотной тёмной материей, которая поглощает всё в тёмное пространство."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0734_profile,Breath of the Gods,Дыхание богов,Дыхания Богов,1,"Furthermore, it can use its magic shield Avalon to activate Breath of the Gods.","Кроме того, он может использовать свой магический щит Авалон для активации «Дыхания Богов»."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0741_profile,Burst Shot,Взрывной выстрел,Залп Выстрелов,1,It uses its special move Burst Shot to open fire with a volley of firearms.,"Он использует свой специальный приём «Залп Выстрелов», чтобы открыть огонь залпом из огнестрельного оружия."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0752_profile,Rare Metal Poop,Какашки из редких металлов,Редкий Металлический Кал,1,PlatinumSukamon uses its special move Rare Metal Poop to hurl poop with a metallic sheen at the enemy.,"ПлатинумСкамон использует свой специальный приём «Редкий Металлический Кал», чтобы швырять какашки с металлическим блеском во врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0776_profile,Corona Blaze Sword,Пламенный меч короны,Меч Венца Пламени,1,"It uses its special move Corona Blaze Sword to fuse its sword and shield of flame into a greatsword of explosive strength, or Final Shining Burst to induce a massive explosion by focusing its entire body and soul.","Он использует свой специальный приём «Меч Венца Пламени», чтобы объединить свой меч и щит из пламени в большой меч взрывной силы, или «Финальный Сияющий Взрыв», чтобы вызвать мощный взрыв, концентрируя всё своё тело и душу."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0776_profile,Final Shining Burst,Последний сияющий взрыв,Финальный Сияющий Взрыв,1,"It uses its special move Corona Blaze Sword to fuse its sword and shield of flame into a greatsword of explosive strength, or Final Shining Burst to induce a massive explosion by focusing its entire body and soul.","Он использует свой специальный приём «Меч Венца Пламени», чтобы объединить свой меч и щит из пламени в большой меч взрывной силы, или «Финальный Сияющий Взрыв», чтобы вызвать мощный взрыв, концентрируя всё своё тело и душу."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0908_profile,Lightning Javelin,Молниеносный Дротик,Молниевое Копьё,1,Its special move Lightning Javelin launches a sharp electrical shock from the blade atop its head.,Его специальный приём «Молниевое Копьё» запускает острый электрический разряд от лезвия на макушке его головы.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0915_profile,Senjin Kishinzan,Сендзин Кишинзан,Сэндзин Кишинзан,1,"SkullBaluchimon (Titamon Riding) uses its special move Senjin Kishinzan to spin its polearm-form Zanjintou around and around, mincing the DigiCores of its foes into tiny particles.","ЧерепБалучимон (Титамон Верхом) использует свой специальный приём «Сэндзин Кишинзан», чтобы вращать своё Зандзинто в форме древкового оружия вокруг и вокруг, измельчая Диги-Ядра своих врагов в мельчайшие частицы."
