package,file,row_id,max_before,max_after,lines_before,lines_after
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0179_profile,89,54,33,28
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0180_profile,85,55,23,20
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0181_profile,78,55,20,18
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0183_profile,81,54,19,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0184_profile,70,55,23,20
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0186_profile,126,53,23,21
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0192_profile,81,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0193_profile,76,55,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0210_profile,81,54,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0211_profile,85,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0213_profile,85,55,18,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0217_profile,80,54,8,7
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0225_profile,87,55,20,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0228_profile,72,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0229_profile,92,55,21,18
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0235_profile,83,55,21,18
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0242_profile,73,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0301_profile,76,54,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0303_profile,78,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0306_profile,70,54,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0307_profile,73,55,14,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0308_profile,85,54,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0315_profile,101,55,15,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0342_profile,86,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0344_profile,86,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0346_profile,77,55,14,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0348_profile,80,55,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0363_profile,82,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0368_profile,73,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0370_profile,89,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0372_profile,77,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0375_profile,91,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0380_profile,83,55,13,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0382_profile,82,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0383_profile,79,55,23,20
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0385_profile,82,55,16,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0388_profile,80,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0392_profile,74,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0393_profile,80,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0395_profile,90,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0397_profile,80,54,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0398_profile,88,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0400_profile,79,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0403_profile,78,55,18,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0404_profile,84,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0405_profile,83,55,13,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0406_profile,87,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0408_profile,81,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0414_profile,69,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0416_profile,76,55,24,20
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0417_profile,68,55,18,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0421_profile,90,55,11,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0424_profile,85,55,16,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0425_profile,85,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0439_profile,72,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0450_profile,81,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0452_profile,79,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0458_profile,87,55,12,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0465_profile,94,55,14,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0548_profile,76,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0573_profile,75,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0594_profile,80,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0605_profile,95,55,18,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0609_profile,84,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0623_profile,77,53,7,6
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0626_profile,79,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0669_profile,83,55,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0683_profile,95,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0688_profile,87,55,22,19
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0704_profile,73,55,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0709_profile,83,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0724_profile,87,52,8,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0732_profile,85,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0735_profile,86,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0737_profile,77,55,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0741_profile,83,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0745_profile,100,55,14,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0752_profile,90,55,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0767_profile,147,55,27,25
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0771_profile,100,55,23,21
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0774_profile,86,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0776_profile,100,55,8,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0908_profile,92,54,13,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0912_profile,84,54,16,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0915_profile,84,55,26,23
