kind,speaker_id,relative_path,row_id,word,context,text
latin,char_OPERATOR_M,message/m060.mbe/000_Sheet1.csv,m060_020_240,player,"Помнишь мои слова, агент {player}?","Помнишь мои слова, агент {player}?"
latin,char_OPERATOR_M,message/m060.mbe/000_Sheet1.csv,m060_150_090,player,"Агент {player}... Я вижу, ситуация снова изменилась.","Агент {player}... Я вижу, ситуация снова изменилась."
latin,char_OPERATOR_M,message/m070.mbe/000_Sheet1.csv,m070_100_010,player,"Агент {player}, текущая ситуация заново оценена.","Агент {player}, текущая ситуация заново оценена."
latin,char_OPERATOR_M,message/m090.mbe/000_Sheet1.csv,m090_010_010,player,"Похоже, тебе не удалось выспаться, агент {player}?","Похоже, тебе не удалось выспаться, агент {player}?"
latin,char_OPERATOR_M,message/m120.mbe/000_Sheet1.csv,m120_040_010,player,Агент {player}... Только что удалось перехватить связь. / Вы в мире дигимонов? Я правильно понимаю?,"Агент {player}... Только что удалось перехватить связь.
Вы в мире дигимонов? Я правильно понимаю?"
latin,char_OPERATOR_M,message/m130.mbe/000_Sheet1.csv,m130_010_120,player,"Если это приведёт к получению дополнительной информации, это вряд ли будет / пустой тратой времени. Тем не менее, будьте осторожны, Агент {player}.","Если это приведёт к получению дополнительной информации, это вряд ли будет
пустой тратой времени. Тем не менее, будьте осторожны, Агент {player}."
latin,char_OPERATOR_M,message/m140.mbe/000_Sheet1.csv,m140_010_430,player,"Агент {player}, помните, что произошло во время Ада Синдзюку.","Агент {player}, помните, что произошло во время Ада Синдзюку."
latin,char_OPERATOR_M,message/m140.mbe/000_Sheet1.csv,m140_020_040,player,Агент {player}. Сейчас хорошее время собрать / побольше информации.,"Агент {player}. Сейчас хорошее время собрать
побольше информации."
latin,char_OPERATOR_M,message/m150.mbe/000_Sheet1.csv,m150_160_150,player,"...Держите это в уме, ладно, Агент {player}?","...Держите это в уме, ладно, Агент {player}?"
latin,char_OPERATOR_M,message/m170.mbe/000_Sheet1.csv,m170_010_090,player,"Реально, верить в то, что это правда, - наш единственный выход. / Я рассчитываю на вас, агент {player}.","Реально, верить в то, что это правда, - наш единственный выход.
Я рассчитываю на вас, агент {player}."
latin,char_OPERATOR_M,message/m170.mbe/000_Sheet1.csv,m170_150_120,player,"Так держать! Всё зависит от тебя, агент {player}.","Так держать! Всё зависит от тебя, агент {player}."
latin,char_OPERATOR_M,message/m180.mbe/000_Sheet1.csv,m180_110_060,player,"Там должны быть какие-то ключи к разгадке истины. / Продолжайте копать, Агент {player}.","Там должны быть какие-то ключи к разгадке истины.
Продолжайте копать, Агент {player}."
latin,char_OPERATOR_M,message/m230.mbe/000_Sheet1.csv,m230_010_180,player,"...ваш приказ предотвратить Ад Синдзюку остаётся в силе. Я всё / ещё рассчитываю на вас, агент {player}!","...ваш приказ предотвратить Ад Синдзюку остаётся в силе. Я всё
ещё рассчитываю на вас, агент {player}!"
latin,char_OPERATOR_M,message/m350.mbe/000_Sheet1.csv,m350_140_140,player,"Наверное, это всё. Дальше всё зависит от тебя, Агент {player}.","Наверное, это всё. Дальше всё зависит от тебя, Агент {player}."
male_self_form,char_OPERATOR_M,message/rumor_npc.mbe/000_Sheet1.csv,r_t0102_0010_0110,должен,Я должен догнать остальных членов банды,Я должен догнать остальных членов банды...
male_self_form,char_OPERATOR_M,message/rumor_npc.mbe/000_Sheet1.csv,r_t0102_0010_0140,должен,В какую из них я должен сыграть сегодня,В какую из них я должен сыграть сегодня ...?
male_self_form,char_OPERATOR_M,message/rumor_npc.mbe/000_Sheet1.csv,r_t0403_0010_0030,сказал,"Я сказал ""нет""","Я сказал ""нет""!"
latin,char_OPERATOR_M,message/t04.mbe/000_Sheet1.csv,f_t0404_0240_0020,fc,Эта функция называется {fc9Навыки Агента}.,Эта функция называется {fc9Навыки Агента}.
