package,file,row_id,source_move,old,new,quoted,expected_count,note
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0775_profile,Death Slinger,Смертельный Пращник,Смертоносец,yes,1,reviewed quoted-name match
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0740_profile,Spiral Raven Claw,Коготь Ворона-Спирали,Спиральный Коготь Ворона,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0745_profile,Mach Stinger V,Махающее Жало V,Стингер Маха V,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0181_profile,Madness Merry-Go-Round DX,"Маднесс
Мерри-Го-Раунд DX",Безумная карусель DX,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0225_profile,Vorpal Blade,"Ворпал
Блейд",Клинок Ворпала,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0315_profile,Strike of the Seven Stars,"Страйк оф зе Севен
Старз",Удар семи звезд,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0315_profile,Testament,Тестамент,Завещание,yes,1,corrected automatic alignment
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0075_profile,Vortex Penetration,"Вортекс
Пенетрайшн",Пронзающий вихрь,yes,1,unambiguous quoted move
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0075_profile,Wave of Depth,"Вейв оф
Дефс",Волна глубины,yes,1,unambiguous quoted move
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0358_profile,Lightning Joust,"Молниеносный
турнирный удар",Молниеносный выпад,yes,1,DLC move-name consistency
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0358_profile,Shield of the Just,Финальный Элизион,Щит праведника,yes,1,DLC move-name consistency
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0418_profile,Victory Sword,Ульфорс-саблю,Меч победы,yes,1,DLC move-name consistency
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0418_profile,Tensegrity Shield,Tense-Great Shield,Тенсегрити-щит,yes,1,localized English-only equipment name
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0418_profile,The Ray of Victory,Сияющая V-сила,Луч победы,yes,1,DLC move-name consistency
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0468_profile,Ultimate Seibaken,"Совершенный боевой клинок
Сэйбакен",«Высший Сэйбакен»,no,1,DLC move-name consistency
