priority,category,reason,match,scope,package,file,line,key,speaker,source_en,current_ru
3,machine_phrase,присутствие/наличие,присутствие,dialogue,addcont_02_text01,message/d230.mbe/000_Sheet1.csv,15,d230_020_140,char_OMEGAMON,"Внезапно я почувствовал, что кто-то ещё истощается так же, как я.
Его присутствие тоже ощущалось в кристаллах.","Внезапно я почувствовал, что кто-то ещё истощается так же, как я.
Его присутствие тоже ощущалось в кристаллах."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d240.mbe/000_Sheet1.csv,44,d240_041_030,char_TOUDO,"«Признаю, сейчас нам действительно нужна помощь.
Но я не собираюсь рисковать жизнью гражданского».","«Признаю, сейчас нам действительно нужна помощь.
Но я не собираюсь рисковать жизнью гражданского»."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d240.mbe/000_Sheet1.csv,60,d240_051_040,char_HIROKO,«Это... действительно возможно?»,«Это... действительно возможно?»
3,machine_phrase,данный/данные,данные,dialogue,addcont_02_text01,message/d240.mbe/000_Sheet1.csv,75,d240_061_050,char_HIROKO,"«Если бы вы могли проанализировать для меня его данные, то, возможно…»","«Если бы вы могли проанализировать для меня его данные, то, возможно…»"
3,machine_phrase,данный/данные,данными,dialogue,addcont_02_text01,message/d240.mbe/000_Sheet1.csv,86,d240_071_020,char_HIROKO,"Если я смогу вернуться с данными о Параллельмоне,
моя мечта может сбыться.","Если я смогу вернуться с данными о Параллельмоне,
моя мечта может сбыться."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,addcont_02_text01,message/digimon_chat_dlc02.mbe/000_Sheet1.csv,7,bango_001_3_replay,char_PLAYER_M,"Я думаю, что моя воля довольно слаба.","Я думаю, что моя воля довольно слаба."
3,machine_phrase,довольно/действительно/различные перегруз,Довольно,dialogue,addcont_02_text01,message/digimon_chat_dlc02.mbe/000_Sheet1.csv,32,omem_001_2_replay,char_PLAYER_M,"Довольно безжалостно, вам не кажется?","Довольно безжалостно, вам не кажется?"
3,machine_phrase,данный/данные,Данные,dialogue,addcont_02_text01,message/dlcep002_field.mbe/000_Sheet1.csv,25,dlcep002_0130_0020,char_NONAME,{next}[Сделать БанчоЛилимона (Данные) союзником.],{next}[Сделать БанчоЛилимона (Данные) союзником.]
3,machine_phrase,данный/данные,Данные,dialogue,addcont_02_text01,message/dlcep002_field.mbe/000_Sheet1.csv,40,dlcep002_0160_0020,char_NONAME,{next}[Сделать БанчоМамемона (Данные) союзником.],{next}[Сделать БанчоМамемона (Данные) союзником.]
3,machine_phrase,данный/данные,данные,dialogue,addcont_02_text01,message/dlcep002_field.mbe/000_Sheet1.csv,47,dlcep002_0165_0024,char_HIROKO,"Поэтому я доверяю эти данные вам. Кто знает?
Вдруг что-то в них окажется полезным.","Поэтому я доверяю эти данные вам. Кто знает?
Вдруг что-то в них окажется полезным."
3,machine_phrase,данный/данные,данных,dialogue,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,73,d310_060_090,char_OMEGAMON-X,"Огромный объем данных потреблял ресурсы цифрового мира.
темпами, которые в конечном итоге считались неустойчивыми.","Огромный объем данных потреблял ресурсы цифрового мира.
темпами, которые в конечном итоге считались неустойчивыми."
3,machine_phrase,относительно/касательно,относительно,dialogue,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,81,d310_060_170,char_SIMMONS,"Я понимаю. Итак, по сути, вас разделили на практические и
идеологические разногласия относительно этой X-программы.","Я понимаю. Итак, по сути, вас разделили на практические и
идеологические разногласия относительно этой X-программы."
3,machine_phrase,является/являются,является,dialogue,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,104,d310_080_090,char_SIMMONS,"Однако является ли что-то логически последовательным и
оптимальное ли это решение – это вообще отдельный вопрос.","Однако является ли что-то логически последовательным и
оптимальное ли это решение – это вообще отдельный вопрос."
3,machine_phrase,является/являются,являются,dialogue,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,132,d310_100_220,char_SIMMONS,"Это совсем не логично, но чувства никогда таковыми не являются.","Это совсем не логично, но чувства никогда таковыми не являются."
3,machine_phrase,является/являются,является,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,6,d320_010_050,char_DUKEMON_X,"Антитело X не является инструментом божественной воли.
Это программа, не больше и не меньше.","Антитело X не является инструментом божественной воли.
Это программа, не больше и не меньше."
3,machine_phrase,присутствие/наличие,наличие,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,58,d320_030_080,char_JESMON_X,"Поскольку наличие антитела X — это вопрос жизни.
и смерть, многие пытаются взять ее силой.","Поскольку наличие антитела X — это вопрос жизни.
и смерть, многие пытаются взять ее силой."
3,machine_phrase,является/являются,являются,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,63,d320_040_030,char_MAGNAMON_X,"Кажется, их X-антитела являются скорее внешними, чем внутренними.","Кажется, их X-антитела являются скорее внешними, чем внутренними."
3,machine_phrase,присутствие/наличие,присутствие,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,80,d320_040_200,char_OMEGAMON-X,"Хм... Я чувствую чужое присутствие. Похоже, поблизости есть
и другие дигимоны, охотящиеся за X-антителом.","Хм... Я чувствую чужое присутствие. Похоже, поблизости есть
и другие дигимоны, охотящиеся за X-антителом."
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,99,d320_050_180,char_TOUDO,"«Чудеса и правда случаются. То, что вы только что сказали,
похоже не на данные или факты, а на вашу мечту».","«Чудеса и правда случаются. То, что вы только что сказали,
похоже не на данные или факты, а на вашу мечту»."
3,machine_phrase,данный/данные,Данные,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,165,d320_080_010,char_TOUDO,«Данные исследования Параллельмона были украдены?!»,«Данные исследования Параллельмона были украдены?!»
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,166,d320_080_020,char_SIMMONS,"«Да... Их забрал Куга! Эти данные могут стать ключом
к фундаментальной теории путешествий в пространстве-времени».","«Да... Их забрал Куга! Эти данные могут стать ключом
к фундаментальной теории путешествий в пространстве-времени»."
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,167,d320_080_030,char_SIMMONS,"«Я не знаю его мотивов, но это катастрофа!
Эти данные могли стать нашим билетом из этого кошмара!»","«Я не знаю его мотивов, но это катастрофа!
Эти данные могли стать нашим билетом из этого кошмара!»"
3,machine_phrase,данный/данные,Данные,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,171,d320_080_070,char_DUKEMON_X,"Данные исследования Параллельмон...
Путешествие в пространстве-времени...","Данные исследования Параллельмон...
Путешествие в пространстве-времени..."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,172,d320_080_080,char_ULFORCEVDRAMON_X,Это действительно окажется полезная информация!,Это действительно окажется полезная информация!
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,3,d330_010_020,char_TOUDO,Сюда! Дайте нам данные!,Сюда! Дайте нам данные!
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,5,d330_010_040,char_DUKEMON_X,"Вы хотите сказать, что именно здесь
хранятся данные исследований Параллельмона?","Вы хотите сказать, что именно здесь
хранятся данные исследований Параллельмона?"
3,machine_phrase,данный/данные,Данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,7,d330_010_060,char_MAGNAMON_X,Данные о Параллельмоне?,Данные о Параллельмоне?
3,machine_phrase,данный/данные,Данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,14,d330_010_130,char_OMEGAMON-X,"Хватит! Вы все повторяете одну и ту же ошибку!
Данные Параллельмона изначально нам не принадлежат!","Хватит! Вы все повторяете одну и ту же ошибку!
Данные Параллельмона изначально нам не принадлежат!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,32,d330_030_050,char_KUGA,«Подожди...! Ты действительно собираешься так легко меня отпустить?!»,«Подожди...! Ты действительно собираешься так легко меня отпустить?!»
3,machine_phrase,данный/данные,данных,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,42,d330_040_020,char_TOUDO,«Какая польза вам от кражи этих данных?!»,«Какая польза вам от кражи этих данных?!»
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,49,d330_040_090,char_SIMMONS,«...Ты действительно безнадежный дурак».,«...Ты действительно безнадежный дурак».
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,57,d330_050_010,char_KUGA,"Я никогда не отдам эти данные! Только я смогу
правильно распорядиться этим талантом!","Я никогда не отдам эти данные! Только я смогу
правильно распорядиться этим талантом!"
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d330.mbe/000_Sheet1.csv,62,d330_050_060,char_OMEGAMON-X,"Они и правда собираются забрать данные силой...
Этот человек в опасности. Нужно помочь!","Они и правда собираются забрать данные силой...
Этот человек в опасности. Нужно помочь!"
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d340.mbe/000_Sheet1.csv,11,d340_010_037,char_ULFORCEVDRAMON_X,"А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!","А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!"
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d340.mbe/000_Sheet1.csv,13,d340_010_050,char_ULFORCEVDRAMON_X,"А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!","А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!"
3,machine_phrase,данный/данные,данные,dialogue,addcont_03_text01,message/d350.mbe/000_Sheet1.csv,27,d350_020_140,char_SIMMONS,"Параллельмоны управляли временем через собственные тела.
Похоже, они могли сжимать свои данные.","Параллельмоны управляли временем через собственные тела.
Похоже, они могли сжимать свои данные."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_03_text01,message/d350.mbe/000_Sheet1.csv,31,d350_020_180,char_ALPHAMON,"...Спасибо. Я действительно не знаю, как вас отблагодарить.","...Спасибо. Я действительно не знаю, как вас отблагодарить."
3,machine_phrase,данный/данные,данными,dialogue,addcont_03_text01,message/d350.mbe/000_Sheet1.csv,47,d350_020_340,char_KUGA,Хм...? Что случилось с данными?!,Хм...? Что случилось с данными?!
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_03_text01,message/digimon_chat_dlc03.mbe/000_Sheet1.csv,30,alfox_001_1_replay,char_PLAYER_M,"Ты действительно уверен в себе, да?","Ты действительно уверен в себе, да?"
3,machine_phrase,данный/данные,Данные,dialogue,addcont_03_text01,message/dlcep003_field.mbe/000_Sheet1.csv,36,dlc003_0090_0020,char_JESMON_X,{next}[Сделать Джесмона (X-антитело) (Данные) союзником.],{next}[Сделать Джесмона (X-антитело) (Данные) союзником.]
3,machine_phrase,данный/данные,данными,dialogue,addcont_03_text01,message/dlcep003_field.mbe/000_Sheet1.csv,63,dlc003_0160_0020,char_SIMMONS,"Помнишь мои исследования фазово-электронной интерференции?
Эта программа — прототип с новейшими исследовательскими данными.","Помнишь мои исследования фазово-электронной интерференции?
Эта программа — прототип с новейшими исследовательскими данными."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,addcont_17_text01,message/digimon_chat_dlc17.mbe/000_Sheet1.csv,12,omez_001_1_replay,char_PLAYER_M,,"Честно говоря, выглядит довольно злодейски."
3,machine_phrase,присутствие/наличие,наличии,dialogue,app_text01,message/analyse.mbe/000_Sheet1.csv,26,digimonride_notarget,char_DIGIVICE,В наличии нет Дигимон с поддержкой ДигиРайд.,В наличии нет Дигимон с поддержкой ДигиРайд.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,20,arena01_f001_003_030,char_ETEMON,"""Монзаэмон и друзья"" уже здесь! Они действительно выглядят
знакомыми, но будь я проклят, если смогу их вспомнить!","""Монзаэмон и друзья"" уже здесь! Они действительно выглядят
знакомыми, но будь я проклят, если смогу их вспомнить!"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,56,arena01_f001_007_030,char_ETEMON,"Совпадение? Или стратегия? Они прощались одно за другим! Хороши
ли они? Кто знает? Хотя это довольно неприятный запах!","Совпадение? Или стратегия? Они прощались одно за другим! Хороши
ли они? Кто знает? Хотя это довольно неприятный запах!"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,95,arena01_f001_011_040,char_TITAMON,"Давно не виделись, малыш! Однако я довольно занят, так что давай
поторопимся и закончим это дело, уже сейчас!","Давно не виделись, малыш! Однако я довольно занят, так что давай
поторопимся и закончим это дело, уже сейчас!"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,134,arena01_f001_016_040,char_LOPMON,"Ни за что! Это снова они! Я не могу в это поверить. Ну, в этом
нет абсолютно никакого смысла, но я думаю, это довольно весело!","Ни за что! Это снова они! Я не могу в это поверить. Ну, в этом
нет абсолютно никакого смысла, но я думаю, это довольно весело!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,188,arena01_f001_023_040,char_RAPIDMON_ARMOR,"Хотя мы действительно хотим доказать свою силу, ничто не делает
нас счастливее, чем просто встретиться с вами в бою!","Хотя мы действительно хотим доказать свою силу, ничто не делает
нас счастливее, чем просто встретиться с вами в бою!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/arena01.mbe/000_Sheet1.csv,244,arena01_m320_030_020,char_ETEMON,"Без лишних слов, встречаем чемпиона Гран-при подземелья Синдзюку!
Боец, действительно достойный этого титула!","Без лишних слов, встречаем чемпиона Гран-при подземелья Синдзюку!
Боец, действительно достойный этого титула!"
3,machine_phrase,данный/данные,данные,dialogue,app_text01,message/battle.mbe/000_Sheet1.csv,10,1032010002,char_SIMMONS,"Ха... Похоже, влияние больше, чем предполагалось ранее... Мы
получаем отличные данные ...!","Ха... Похоже, влияние больше, чем предполагалось ранее... Мы
получаем отличные данные...!"
3,machine_phrase,данный/данные,данные,dialogue,app_text01,message/battle.mbe/000_Sheet1.csv,11,1032010003,char_SIMMONS,"Удивительно ...! Удивительно ...! Это даст поистине бесценные
данные!","Удивительно...! Удивительно...! Это даст поистине бесценные
данные!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/battle.mbe/000_Sheet1.csv,329,1200020150,char_MINERVAMON,Уф... Мои брат и сестра действительно явились...,Уф... Мои брат и сестра действительно явились...
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/battle.mbe/000_Sheet1.csv,525,2110099104,char_DUKEMON,"Это то, на что я, Галантмон, действительно способен!","Это то, на что я, Галантмон, действительно способен!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d01.mbe/000_Sheet1.csv,45,f_d0101_0120_0040,char_SOCERIMON,... тогда Грейсеновамон действительно может появиться.,... тогда Грейсеновамон действительно может появиться.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d01.mbe/000_Sheet1.csv,59,f_d0101_0160_0014,char_WIZARDMON,Ты действительно понимаешь?,Ты действительно понимаешь?
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,12,f_d0201_0040_0010,char_PEGASMON,"Что ж! Незнакомое лицо. У вас довольно уникальная внешность...
Возможно, вы новоприбывший?","Что ж! Незнакомое лицо. У вас довольно уникальная внешность...
Возможно, вы новоприбывший?"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,114,f_d0201_0480_0030,char_LEOMON,"Но опора довольно опасная, так как вся она сделана из стали,
поэтому полюбоваться этим видом может быть непросто! Хахаха!","Но опора довольно опасная, так как вся она сделана из стали,
поэтому полюбоваться этим видом может быть непросто! Хахаха!"
3,machine_phrase,довольно/действительно/различные перегруз,Действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,119,f_d0201_0490_0020,char_PANDAMON,"Действительно... Мы должны быть бдительны и не позволять нашей
обороне ослабевать.","Действительно... Мы должны быть бдительны и не позволять нашей
обороне ослабевать."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,131,f_d0201_0550_0030,char_IMPMON,"Итак, тебе удалось победить Титанов...? Да, думаю, это довольно
впечатляет...","Итак, тебе удалось победить Титанов...? Да, думаю, это довольно
впечатляет..."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,151,f_d0201_0600_0030,char_BAKUMON,..но нам довольно трудно выносить их уровень жизни.,..но нам довольно трудно выносить их уровень жизни.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,186,f_d0201_0680_0010,char_FALCOMON,"Хотя действительно кажется, что с тех пор, как прибыли Титаны,
жизнь здесь стала более процветающей...","Хотя действительно кажется, что с тех пор, как прибыли Титаны,
жизнь здесь стала более процветающей..."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,189,f_d0201_0680_0040,char_FALCOMON,..нам действительно нужно найти более эффективное решение.,..нам действительно нужно найти более эффективное решение.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,208,f_d0201_0760_0030,char_FALCOMON,"Усадка действительно продвинулась вперед в предыдущем бою, но я
надеюсь, что мы сможем продолжить то, что должно быть сделано, без оправданий.","Усадка действительно продвинулась вперед в предыдущем бою, но я
надеюсь, что мы сможем продолжить то, что должно быть сделано, без оправданий."
3,machine_phrase,данный/данные,данный,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,269,f_d0201_1230_0010,char_CATCHMAMEMON,"В данный момент мы убираем эту улицу, так что вам придется
подождать, чтобы пройти.","В данный момент мы убираем эту улицу, так что вам придется
подождать, чтобы пройти."
3,machine_phrase,данный/данные,данный,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,214,f_d0201_800_0010,char_MUMMYMON,"Локомона ... здесь нет. Полагаю, это означает, что на данный
момент мы закрыты.","Локомона... здесь нет. Полагаю, это означает, что на данный
момент мы закрыты."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,220,f_d0201_810_0030,char_MEGAGROWLMON,"Должен сказать, этот парень был довольно силен. Я бы с
удовольствием провел с ними еще один раунд.","Должен сказать, этот парень был довольно силен. Я бы с
удовольствием провел с ними еще один раунд."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,229,f_d0201_840_0020,char_YATAGARAMON,"Это было довольно давно, но я помню, что вы также решили наши
проблемы с Центральной башней и не прибывшим Локомотивом.","Это было довольно давно, но я помню, что вы также решили наши
проблемы с Центральной башней и не прибывшим Локомотивом."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,286,f_d0202_0020_0020,char_TYUMON,"Один из моих приятелей всегда бывает там один, но кто знает,
может, Минервамон действительно дома. Пойди посмотри.","Один из моих приятелей всегда бывает там один, но кто знает,
может, Минервамон действительно дома. Пойди посмотри."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,291,f_d0202_0040_0010,char_LUNAMON,"Вы действительно помогли нам! Не знаю, что бы мы без вас делали!","Вы действительно помогли нам! Не знаю, что бы мы без вас делали!"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,317,f_d0202_0090_0050,char_MECHANORIMON,"Однако отогнать титанов - нелегкий подвиг... Люди, должно быть,
довольно выносливые существа.","Однако отогнать титанов - нелегкий подвиг... Люди, должно быть,
довольно выносливые существа."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,424,f_d0202_0490_0020,char_ARCHNEMON,"... Но они показали нам, как драться, так что, думаю, я
действительно кое-что извлек из всего этого. Это очень странное чувство.","... Но они показали нам, как драться, так что, думаю, я
действительно кое-что извлек из всего этого. Это очень странное чувство."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,430,f_d0202_0530_0030,char_MUSYAMON,"Что ж, вражеский генерал действительно сбежал, так что я думаю,
что с нами все в порядке в этом отношении.","Что ж, вражеский генерал действительно сбежал, так что я думаю,
что с нами все в порядке в этом отношении."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,439,f_d0202_0560_0010,char_RIZEGREYMON,"Эй! Ты действительно спас наши шкуры там! Ты определенно
настоящий профессионал!","Эй! Ты действительно спас наши шкуры там! Ты определенно
настоящий профессионал!"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,505,f_d0202_9010_0040,char_KOKUWAMON,Я… проиграл. Ты... действительно хорош.,Я… проиграл. Ты... действительно хорош.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,510,f_d0203_0010_0040,char_PLAYER_M,"""Если вы голодны, купите немного ДигиМясо в магазине на главной
улице. Только не ешьте слишком много. Это действительно вкусно!""","""Если вы голодны, купите немного ДигиМясо в магазине на главной
улице. Только не ешьте слишком много. Это действительно вкусно!"""
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,522,f_d0203_0010_0120,char_ASSISTANT_TERRIERMON,"Что ж, я уверен, у вас есть на то свои причины. Несмотря на свою
внешность, я довольно проницательный исследователь, так что я понимаю, да.","Что ж, я уверен, у вас есть на то свои причины. Несмотря на свою
внешность, я довольно проницательный исследователь, так что я понимаю, да."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,532,f_d0203_0010_0180,char_ASSISTANT_TERRIERMON,"Эта булавка довольно крутая, не правда ли? Это особый подарок
от моего мастера.","Эта булавка довольно крутая, не правда ли? Это особый подарок
от моего мастера."
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,551,f_d0203_0010_0320,char_ASSISTANT_TERRIERMON,"Я знаю, что там все еще довольно сложно, но я продолжу
сосредотачиваться на своих исследованиях, чтобы помочь.","Я знаю, что там все еще довольно сложно, но я продолжу
сосредотачиваться на своих исследованиях, чтобы помочь."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,584,f_d0204_0120_0010,char_PUMPMON,"Вау, вон та Лилимон действительно милая... Ты не собираешься
подойти поздороваться?","Вау, вон та Лилимон действительно милая... Ты не собираешься
подойти поздороваться?"
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,604,f_d0204_0170_0030,char_PANJYAMON,"Хе-хе. Робкие удары издалека, да? Противник действительно так
сильно тебя пугает?","Хе-хе. Робкие удары издалека, да? Противник действительно так
сильно тебя пугает?"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,app_text01,message/d02.mbe/000_Sheet1.csv,636,f_d0204_0240_0030,char_ARCHNEMON,Ты... выглядишь довольно аппетитно... * бормоча*,Ты... выглядишь довольно аппетитно... * бормоча*
