#,id,english_name,russian_name
48,char_GODDRAMON,Goldramon,Годдрамон
49,char_BANCHOLEOMON,BanchoLeomon,БанхоЛеомон
50,char_AGUMON,Agumon,Агумон
51,char_GAWAPPAMON,Gawappamon,Гаваппамон
52,char_KAMEMON,Kamemon,Камемон
53,char_KUDAMON,Kudamon,Кудамон
54,char_GEOGREYMON,GeoGreymon,Гео Греймон
55,char_GAOMON,Gaomon,Гаомон
56,char_LALAMON,Lalamon,Лаламон
57,char_ROSEMON,Rosemon,Роузмон
58,char_SUNFLOWMON,Sunflowmon,Санфлаумон
59,char_VOLCAMON,Volcanomon,Волканомон
60,char_PILEVOLCAMON,PileVolcanomon,ПилеВолканомон
61,char_MONZAEMON,Monzaemon,Мондзаэмон
62,char_GAOGAMON,Gaogamon,Гаогамон
63,char_PLATINUMNUMEMON,PlatinumNumemon,ПлатинаНумемон
64,char_NUMEMON,Numemon,Нумемон
65,char_RIZEGREYMON,RizeGreymon,Райз Греймон
66,char_LEOMON,Leomon,Леомон
67,char_LILAMON,Lilamon,Лиламон
68,char_MACHGAOGAMON,MachGaogamon,Мах Гаогамон
69,char_NEPTUNEMON,Neptunemon,Нептунмон
70,char_SHAWUJINMON,Shaujinmon,Шауджинмон
71,char_REPPAMON,Reppamon,Реппамон
72,char_GROWMON,Growlmon,Граумон
73,char_SUPERSTARMON,SuperStarmon,Суперстармон
74,char_MERCURYMON,Merukimon,Мерукимон
75,char_IMPMON,Impmon,Импмон
76,char_HIPPOGRIFFOMON,HippoGryphonmon,Гиппогрифомон
77,char_GRIFFOMON,Gryphonmon,Гриффомон
78,char_TYILINMON,Chirinmon,Цилиньмон
79,char_VAMDEMON,Myotismon,Вамдемон
80,char_SLEIPMON,Kentaurosmon,Слейпмон
81,char_SLEIPMON_BIG,Kentaurosmon,Слейпмон
82,char_ANGEMON,Angemon,Ангемон
83,char_OMEGAMON,Omnimon,Омегамон
84,char_GUILMON,Guilmon,Гилмон
85,char_STINGMON,Stingmon,Стингмон
86,char_TAILMON,Gatomon,Тейлмон
87,char_DEVIMON,Devimon,Девимон
88,char_SHINEGREYMON,ShineGreymon,Шайн Греймон
89,char_SHINEGREYMON_BIG,ShineGreymon,Шайн Греймон
90,char_MIRAGEGAOGAMON,MirageGaogamon,Мираж Гаогамон
91,char_PATAMON,Patamon,Патамон
92,char_PICODEVIMON,DemiDevimon,Пико Девимон
93,char_JUMBOGAMEMON,JumboGamemon,ДжамбоГамемон
94,char_WENDIMON,Wendigomon,Вендимон
95,char_HOLYANGEMON,MagnaAngemon,Холи Ангемон
96,char_TURUIEMON,Turuiemon,Туруйемон
97,char_GANIMON,Crabmon,Ганимон
98,char_SUSANOOMON,Susanomon,Сусаноомон
99,char_DUKEMON_CM,Gallantmon CM,Дюкмон: Багровый режим
100,char_ARMAGEMON,Armageddemon,Армагемон
101,char_LADYDEVIMON,LadyDevimon,Леди Девимон
102,char_GOBURIMON,Goblimon,Гобуримон
103,char_DORUMON,Dorumon,Дорумон
104,char_GOLDNUMEMON,GoldNumemon,ГолдНумемон
105,char_V-MON,Veemon,Ви-мон
106,char_BAOHUCKMON,BaoHuckmon,Бао Хакмон
107,char_SAVIORHUCKMON,SaviorHuckmon,Сэйвиор Хакмон
108,char_VALDURMON,Varodurumon,Вальдурмон
109,char_CHAOSMONVALDURARM,Chaosmon: Valdur Arm,Хаосмон: Рука Валдура
110,char_DUKEMON,Gallantmon,Дюкмон
111,char_DUKEMON_BIG,Gallantmon,Дюкмон
112,char_KINGETEMON,KingEtemon,КингЕтемон
113,char_TYRANTKABUTERIMON,TyrantKabuterimon,Тиран Кабутеримон
114,char_TYRANTKABUTERIMON_BIG,TyrantKabuterimon,Тиран Кабутеримон
115,char_DAGOMON,Dragomon,Дагомон
116,char_COELAMON,Coelamon,Целамон
117,char_MEGASEADRAMON,MegaSeadramon,Мега Сидрамон
118,char_WARUSEADRAMON,WaruSeadramon,ВарСидрамон
119,char_MEGAGROWLMON,WarGrowlmon,Мегало Граумон
120,char_METALGARURUMON,MetalGarurumon,Метал Гарурумон
121,char_CORONAMON,Coronamon,Коронамон
122,char_FIRAMON,Firamon,Фирамон
123,char_FLAREMON,Flaremon,Флэремон
124,char_LIGHDRAMON,Lighdramon,Лайдрамон
125,char_WEREGARURUMON,WereGarurumon,ВерГарурумон
126,char_HOLSMON,Halsemon,Холсмон
127,char_SHURIMON,Shurimon,Сюримон
128,char_DIGMON,Digmon,Дигмон
129,char_SABMARIMON,Submarimon,Субмаримон
130,char_PEGASMON,Pegasusmon,Пегасмон
131,char_NEFERTIMON,Nefertimon,Нефертимон
132,char_ANGEWOMON,Angewomon,Ангевумон
133,char_OROCHIMON,Orochimon,Оротимон
134,char_CHAOSDUKEMON,ChaosGallantmon,ХаосГаллантмон
135,char_GABUMON,Gabumon,Габумон
136,char_RANAMON,Lanamon,Ранамон
137,char_CALAMARAMON,Calmaramon,Кальмарамон
138,char_CALAMARAMON_ADD,Calmaramon (Mantle),Кальмарамон (Мантия)
139,char_JUPITERMON,Jupitermon,Юпитермон
140,char_JUPITERMON_WRATHMODE,Jupitermon WM,Юпитермон: Режим гнева
141,char_JUPITERMON_WRATHMODE_SUB,Jupitermon: Wrath Mode,Юпитермон: Режим гнева
142,char_JUNOMON,Junomon,Юномон
143,char_JUNOMON_HYSTERICMODE,Junomon HM,Юномон: Истерический режим
144,char_JUNOMON_HYSTERICMODE_ADD,Junomon HM (Lances),Юномон: Истерический режим (копья)
145,char_VENUSMON,Venusmon,Венусмон
146,char_APOLLOMON,Apollomon,Аполломон
147,char_APOLLOMON_ADD,Apollomon (Flame Sphere),Аполломон (огненная сфера)
148,char_MARSMON,Marsmon,Марсмон
149,char_CERESMON,Ceresmon,Церемон
150,char_BLUEMERAMON,BlueMeramon,Блю Мерамон
151,char_VULCANUSMON,Vulcanusmon,Вулканусмон
152,char_VULCANUSMON_BIG,Vulcanusmon,Вулканусмон
153,char_VULCANUSMON_GUEST_BIG,Vulcanusmon,Вулканусмон
154,char_BACCHUSMON,Bacchusmon,Вакхмон
155,char_PLUTOMON,Plutomon,Плутомон
156,char_MERVAMON,Mervamon,Мервамон
157,char_AEGIOMON,Aegiomon,Эгиомон
158,char_AEGIOMON_PLAIN_CLOTHES,Aegiomon (Street Clothes),Эгиомон (уличная одежда)
159,char_AEGIOMON_NO_CAP,Aegiomon (Hatless Street Clothes),Эгиомон (уличная одежда без головного убора)
160,char_AEGIOCHUSMON,Aegiochusmon,Эгиохмон
161,char_AEGIOCHUSMON_DARK,Aegiochusmon: Dark,Эгиохмон: Тёмный
162,char_AEGIOCHUSMON_HOLLY,Aegiochusmon: Holy,Эгиохмон: Святой
163,char_AEGIOCHUSMON_BLUE,Aegiochusmon: Blue,Эгиохмон: Синий
164,char_AEGIOCHUSMON_GREEN,Aegiochusmon: Green,Эгиохмон: Зелёный
165,char_CERESMON_MEDIUM,Ceresmon Medium,Сересмон Медиум
166,char_RYUDAMON,Ryudamon,Рюдамон
167,char_GINRYUMON,Ginryumon,Джинрюмон
168,char_HISYARYUMON,Hisyaryumon,Хисьярюмон
169,char_OURYUMON,Ouryumon,Оурюмон
170,char_GUNDRAMON,Gundramon,Гандрамон
171,char_GUNDRAMON_BIG,Gundramon,Гандрамон
172,char_BEELSTARMON,BeelStarmon,Вель Стармон
173,char_PUKUMON,Pukumon,Пукумон
174,char_CROSSMON,Eaglemon,Кроссмон
175,char_LOCOMON,Locomon,Локомон
176,char_ARCHNEMON,Arukenimon,Арукенимон
177,char_DRACOMON,Dracomon,Дракомон
178,char_COREDRAMON_GR,Coredramon (Green),Кордрамон (Зелёный)
179,char_WINGDRAMON,Wingdramon,Вингдрамон
180,char_GROUNDRAMON,Groundramon,Граундрамон
181,char_SLAYERDRAMON,Slayerdramon,Слейердрамон
182,char_BREAKDRAMON,Breakdramon,Брейкдрамон
183,char_BREAKDRAMON_BIG,Breakdramon,Брейкдрамон
184,char_EXAMON,Examon,Эксамон
185,char_EXAMON_SMALL,Examon,Эксамон
186,char_EXAMON_BIG,Examon,Эксамон
187,char_DARKSUPERSTARMON,DarkSuperStarmon,Дарк Суперстармон
188,char_COREDRAMON_BL,Coredramon (Blue),Кордрамон (Синий)
189,char_KOTEMON,Kotemon,Котэмон
190,char_MUSYAMON,Musyamon,Мусямон
191,char_DOBERMON,Dobermon,Добермон
192,char_CERBERUMON,Cerberusmon,Церберумон
193,char_CERBERUMON_WEREWOLFMODE,Cerberusmon WM,Церберумон: режим оборотня
194,char_ZANBAMON,Zanbamon,Дзанбамон
195,char_ZANBAMON_BIG,Zanbamon,Дзанбамон
196,char_MUMMYMON,Mummymon,Мумимон
197,char_PHARAOHMON,Pharaohmon,Фараомон
198,char_PHARAOHMON_BIG,Pharaohmon,Фараомон
199,char_DELTAMON,Deltamon,Дельтамон
200,char_CHIMAIRAMON,Kimeramon,Химерамон
201,char_MILLENNIUMON,Millenniummon,Милленниумон
202,char_MILLENNIUMON_BIG,Millenniummon,Милленниумон
203,char_BAKUMON,Tapirmon,Бакумон
204,char_SIRENMON,Sirenmon,Сиренмон
205,char_BELIALVAMDEMON,MaloMyotismon,Маломиотизмон
206,char_BEARMON,Bearmon,Бермон
207,char_GRYZMON,Grizzlymon,Гризмон
208,char_ASTAMON,Astamon,Астамон
209,char_SKULLBALUCHIMON,SkullBaluchimon,Скалл Балухимон
210,char_OCTMON,Octomon,Октомон
211,char_CHOROMON,Choromon,Торомон
212,char_CAPROMON,Kapurimon,Капримон
213,char_MEGADRAMON,Megadramon,Мегадрамон
214,char_METALGREYMON,MetalGreymon,Металл Греймон
215,char_TENTOMON,Tentomon,Тентомон
216,char_KABUTERIMON,Kabuterimon,Кабутеримон
217,char_ATLURKABUTERIMON,MegaKabuterimon,МегаКабутеримон
218,char_HERCULESKABUTERIMON,HerculesKabuterimon,ГеркулесКабутеримон
219,char_HERCULESKABUTERIMON_BIG,HerculesKabuterimon,ГеркулесКабутеримон
220,char_PIYOMON,Biyomon,Пиёмон
221,char_BIRDRAMON,Birdramon,Бёрдрамон
222,char_GARUDAMON,Garudamon,Гарудамон
223,char_HOUOUMON,Phoenixmon,Фениксмон
224,char_ETEMON,Etemon,Этемон
225,char_METALETEMON,MetalEtemon,Металл Этемон
226,char_SUKAMON,Sukamon,Сукамон
227,char_VEGIMON,Vegiemon,Вегимон
228,char_SERAPHIMON,Seraphimon,Серафимон
229,char_DODOMON,Dodomon,Додомон
230,char_BOTAMON,Botamon,Ботамон
231,char_POYOMON,Poyomon,Поёмон
232,char_WANYAMON,Wanyamon,Ванямон
233,char_KOROMON,Koromon,Коромон
234,char_TOKOMON,Tokomon,Токомон
235,char_GREYMON,Greymon,Греймон
236,char_APOCLYMON,Apocalymon,Апокалимон
237,char_ANCIENTWISETMON,AncientWisemon,Древний Вайзмон
238,char_GUARDROMON,Guardromon,Гардромон
239,char_ANDROMON,Andromon,Андромон
240,char_GOMAMON,Gomamon,Гомамон
241,char_IKKAKUMON,Ikkakumon,Иккакумон
242,char_ZUDOMON,Zudomon,Зудомон
243,char_VIKEMON,Vikemon,Викемон
244,char_SEADRAMON,Seadramon,Сидрамон
245,char_PALMON,Palmon,Пальмон
246,char_TOGEMON,Togemon,Тогэмон
247,char_EXSAON_BOSS,Examon (Boss),Эксамон (босс)
248,char_LILLYMON,Lillymon,Лиллимон
249,char_PLOTMON,Salamon,Плотмон
250,char_TYRANNOMON,Tyrannomon,Тиранномон
251,char_METALTYRANNOMON,MetalTyrannomon,МеталлТиранномон
252,char_XV-MON,ExVeemon,ИксВи-мон
253,char_KUWAGAMON,Kuwagamon,Кувагамон
254,char_SHELLMON,Shellmon,Шеллмон
255,char_MONOCHROMON,Monochromon,Монохромон
256,char_YUKIDARUMON,Frigimon,Юкидарумон
257,char_MOJYAMON,Mojyamon,Моджьямон
258,char_CENTALMON,Centarumon,Кенталмон
259,char_DRIMOGEMON,Drimogemon,Дримогемон
260,char_DIGITAMAMON,Digitamamon,Дигитамамон
261,char_NANIMON,Nanimon,Нанимон
262,char_TONOSAMAGEKOMON,ShogunGekomon,Тоносама Гэкомон
263,char_WIZARDMON,Wizardmon,Визардмон
264,char_DELUMON,Deramon,Делюмон
265,char_JYUREIMON,Cherrymon,Черимон
266,char_JYUREIMON_BIG,Cherrymon,Черимон
267,char_GERBEMON,Garbagemon,Гербемон
268,char_MAGNAMON,Magnamon,Магнамон
269,char_MAGNAMON_BIG,Magnamon,Магнамон
270,char_RUSTTYRANOMON,RustTyrannomon,РастТиранномон
271,char_MUGENDRAMON,Machinedramon,Мугендрамон
272,char_MUGENDRAMON_BIG,Machinedramon,Мугендрамон
273,char_BUBBMON,Pabumon,Баббмон
274,char_MOCHIMON,Motimon,Мотимон
275,char_BETAMON,Betamon,Бэтамон
276,char_LUCEMON,Lucemon,Люцимон
277,char_RENAMON,Renamon,Ренамон
278,char_WORMMON,Wormmon,Ворммон
279,char_WOODMON,Woodmon,Вудмон
280,char_ORGEMON,Ogremon,Оргмон
281,char_KYUBIMON,Kyubimon,Кьюбимон
282,char_DORUGAMON,Dorugamon,ДОРУгамон
283,char_V-DRAMON,Veedramon,Ви-драмон
284,char_CLOCKMON,Clockmon,Клокмон
285,char_GEKOMON,Gekomon,Гэкомон
286,char_AEROVEEDRAMON,AeroVeedramon,Аэро Ви-драмон
287,char_OKUWAMON,Okuwamon,Окувамон
288,char_GIGADRAMON,Gigadramon,Гигадрамон
289,char_GRAPLEOMON,GrapLeomon,ГрапЛеомон
290,char_SKULLGREYMON,SkullGreymon,Скалл Греймон
291,char_SKULLGREYMON_BIG,SkullGreymon,Скалл Греймон
292,char_TAOMON,Taomon,Таомон
293,char_DEATHMERAMON,SkullMeramon,Дес Мерамон
294,char_DORUGREYMON,DoruGreymon,ДоруГреймон
295,char_PAILDRAMON,Paildramon,Пейлдрамон
296,char_PANJYAMON,IceLeomon,АйсЛеомон
297,char_PICKLEMON,Piximon,Пикмон
298,char_VADEMON,Vademon,Вейдмон
299,char_MAMEMON,Mamemon,Мамемон
300,char_METALMAMEMON,MetalMamemon,Металл Мамемон
301,char_PARROTMON,Parrotmon,Пэрротмон
302,char_ALPHAMON,Alphamon,Альфамон
303,char_ALPHAMON_BIG,Alphamon,Альфамон
304,char_ULFORCEVDRAMON,UlforceVeedramon,Алфорс Ви-драмон
305,char_ULFORCEVDRAMON_BIG,UlforceVeedramon,Алфорс Ви-драмон
306,char_IMPERIALDRAMON_FM,Imperialdramon FM,Империалдрамон: Режим Бойца
307,char_IMPERIALDRAMON_PM,Imperialdramon PM,Империалдрамон: Режим Паладина
308,char_OPHANIMON,Ophanimon,Офанимон
309,char_CHAOSDRAMON,Chaosdramon,Хаосдрамон
310,char_GRANKUWAGAMON,GranKuwagamon,ГранКувагамон
311,char_GRANKUWAGAMON_BIG,GranKuwagamon,ГранКувагамон
312,char_SABERLEOMON,SaberLeomon,Сэйбер Леомон
313,char_SAKUYAMON,Sakuyamon,Сакуямон
314,char_HIANDROMON,HiAndromon,ХиАндромон
315,char_PIEDMON,Piedmon,Пьемон
316,char_PINOCHIMON,Puppetmon,Пиноккимон
317,char_PRINCEMAMEMON,PrinceMamemon,ПринцМамемон
318,char_BOLTMON,Boltmon,Болтмон
319,char_METALSEADRAMON,MetalSeadramon,Металл Сидрамон
320,char_LUCEMON_SM,Lucemon SM,Люцимон: режим Сатаны
321,char_LUCEMON_SM_BIG,Lucemon SM,Люцимон: режим Сатаны
322,char_PUNIMON,Punimon,Пунимон
323,char_TUNOMON,Tsunomon,Цуномон
324,char_BELPHEMON_SM,Belphemon SM,Бельфемон: Режим сна
325,char_BELPHEMON_SM_BIG,Belphemon SM,Бельфемон: Режим сна
326,char_TITAMON,Titamon,Титамон
327,char_TITAMON_BIG,Titamon,Титамон
328,char_TITAMON_2,Titamon (Berserk),Титамон (берсерк)
329,char_TITAMON_ADD,Titamon (Berserk) (Twin Blades),Титамон (двойные клинки)
330,char_TITAMON_TWIN BLADE,Titamon (Twin Blades),Титамон (двойные лезвия)
331,char_PLESIOMON,Plesiomon,Плезиомон
332,char_EBEMON,Ebemon,Эбемон
333,char_CYCLONEMON,Cyclonemon,Циклонемон
334,char_HOLYDRAMON,Magnadramon,Холидрамон
335,char_WASPMON,Waspmon,Васпмон
336,char_KARATUKINUMEMON,ShellNumemon,ШеллНумемон
337,char_REVOLMON,Deputymon,Револьмон
338,char_DRACUMON,Dracmon,Дракумон
339,char_MONODRAMON,Monodramon,Монодрамон
340,char_SKULLMAMMON,SkullMammothmon,СкулМаммонмон
341,char_BLIMPMON,Blimpmon,Блимпмон
342,char_MASTERBLIMPMON,MasterBlimpmon,МастерБлимпмон
343,char_DORIMON,Dorimon,Доримон
344,char_DINOHUMON,Dinohyumon,Динохьюмон
345,char_LOADERLIOMON,LoaderLeomon,Лоадер Лиомон
346,char_JEWELBEEMON,JewelBeemon,Джуэлбимон
347,char_AGUMON_KIZUNA,Agumon (Bond of Bravery),Агумон (узы храбрости)
348,char_GABUMON_KIZUNA,Gabumon (Bond of Friendship),Габумон (узы дружбы)
349,char_GREATGRYZMON,GreatGrizzlymon,ГрейтГриззлимон
350,char_CHARISMON,Callismon,Каллисмон
351,char_CHARISMON_LAST,Callismon,Каллисмон
352,char_UNDEADPLUTOMON,ZombiePlutomon,ЗомбиПлутомон
353,char_PYOCOMON,Yokomon,Пьёкомон
354,char_TANEMON,Tanemon,Танэмон
355,char_PUKAMON,Bukamon,Пукамон
356,char_NYAROMON,Nyaromon,Няромон
357,char_YUNIMON,Unimon,Юнимон
358,char_ELECMON,Elecmon,Элекмон
359,char_PAGUMON,Pagumon,Пагумон
360,char_GAZIMON,Gazimon,Газимон
361,char_HYOKOMON,Hyokomon,Хёкомон
362,char_BURAIMON,Buraimon,Бураимон
363,char_BUTEN,Butenmon,Бутенмон
364,char_NANOMON,Datamon,Датамон
365,char_SHAMAMON,Shamamon,Шамамон
366,char_SNOWGOBURIMON,SnowGoblimon,Сноу Гобуримон
367,char_FUGAMON,Fugamon,Фугамон
368,char_HYOUGAMON,Hyogamon,Хиогамон
369,char_OTAMAMON,Otamamon,Отамамон
370,char_FANTOMON,Phantomon,Фантомон
371,char_FLYMON,Flymon,Флаймон
372,char_MAMMON,Mammothmon,Маммон
373,char_MAMMON_BIG,Mammothmon,Маммон
374,char_RAREMON,Raremon,Рэйрмон
375,char_DOKUGUMON,Dokugumon,Докугумон
376,char_GIZAMON,Gizamon,Гизамон
377,char_GOTTSUMON,Gotsumon,Готцумон
378,char_PUMPMON,Pumpkinmon,Пампмон
379,char_SNIMON,Snimon,Снаймон
380,char_TUSKMON,Tuskmon,Таскмон
381,char_VENOMMYOTISMON,VenomMyotismon,ВеномМиотисмон
382,char_VENOMMYOTISMON_BIG,VenomMyotismon,ВеномМиотисмон
383,char_WITCHMON,Witchmon,Витчмон
384,char_WITCHMON_ADD,Witchmon (Left Arm),Витчмон (Левая Рука)
385,char_MISTYMON,Mistymon,Мистимон
386,char_MEDIEVALDUKEMON,MedievalGallantmon,Средневековый Дюкмон
387,char_GRACENOVAMON,GraceNovamon,Грейс Новамон
388,char_GRACENOVAMON_SUB,GraceNovamon,Грейс Новамон
389,char_GRACENOVAMON_BIG,GraceNovamon,Грейс Новамон
390,char_ANOMALOCARIMON,Scorpiomon,Аномалокаримон
391,char_ANOMALOCARIMON_BIG,Scorpiomon,Аномалокаримон
392,char_HANGYOMON,Divermon,Хангёмон
393,char_HANGYOMON_SCAR,Divermon,Хангёмон
394,char_HANGYOMON_SCARF,Divermon,Хангёмон
395,char_MUSHMON,Mushroomon,Машмон
396,char_KOKUWAMON,Kokuwamon,Кокувамон
397,char_KIWIMON,Kiwimon,Кивимон
398,char_FLORAMON,Floramon,Флорамон
399,char_CLAVISANGEMON,ClavisAngemon,Клавис Ангемон
400,char_CLAVISANGEMON_BIG,ClavisAngemon,Клавис Ангемон
401,char_SLASHANGEMON,SlashAngemon,СлэшАнгемон
402,char_MECHANORIMON,Mekanorimon,Механоримон
403,char_MAGNAKIDMON,MagnaKidmon,МагнаКидмон
404,char_AVENGEKIDMON,AvengeKidmon,АвенжКидмон
405,char_TANKMON,Tankmon,Танкмон
406,char_PENMON,Penmon,Пинмон
407,char_MUCHOMON,Muchomon,Мучомон
408,char_KERAMON,Keramon,Керамон
409,char_INFERMON,Infermon,Инфермон
410,char_INFERMON_BIG,Infermon,Инфермон
411,char_KURAMON,Kuramon,Курамон
412,char_KURISARIMON,Kurisarimon,Курисаримон
413,char_TSUMEMON,Tsumemon,Цумэмон
414,char_DIABOROMON,Diaboromon,Диаборомон
415,char_ALDAMON,Aldamon,Алдамон
416,char_BEOWOLFMON,Beowolfmon,Беовульфмон
417,char_MAGNAGARURUMON_SEPARATION,MagnaGarurumon (Detached),Магна Гарурумон (открепленный)
418,char_AGNIMON,Agunimon,Агнимон
419,char_KAISERGREYMON,EmperorGreymon,Кайзер Греймон
420,char_MAGNAGARURUMON,MagnaGarurumon,Магна Гарурумон
421,char_VRITRAMON,BurningGreymon,Вритрамон
422,char_WOLFMON,Lobomon,Вольфмон
423,char_GARUMMON,KendoGarurumon,Гаруммон
424,char_SHOUTMON,Shoutmon,Шаутмон
425,char_OMEGASHOUTMON,OmniShoutmon,Омега Шаутмон
426,char_HACKMON,Huckmon,Хакмон
427,char_GANKOOMON,Gankoomon,Гэнкумон
428,char_ZUBAMON,Zubamon,Зубамон
429,char_ZUBAEAGERMON,ZubaEagermon,Зубаигермон
430,char_DURAMON,Duramon,Дюрамон
431,char_DURANDAMON,Durandamon,Дюрандамон
432,char_TERRIERMON,Terriermon,Терьермон
433,char_PECKMON,Peckmon,Пекмон
434,char_LOADKNIGHTMON,LordKnightmon,Лорд Найтмон
435,char_LOADKNIGHTMON_BIG,LordKnightmon,Лорд Найтмон
436,char_GROUNDLOCOMON,GroundLocomon,ГраундЛокомон
437,char_FALCOMON,Falcomon,Фалькомон
438,char_HAWKMON,Hawkmon,Хоукмон
439,char_ARMADILLOMON,Armadillomon,Армадилломон
440,char_TOYAGUMON,ToyAgumon,Той Агумон
441,char_TOYAGUMON_BIG,ToyAgumon,Той Агумон
442,char_SHAKOMON,Syakomon,Сякомон
443,char_GARGOMON,Gargomon,Гаргомон
444,char_ANKYLOMON,Ankylomon,Анкиломон
445,char_FLAMEDRAMON,Flamedramon,Флэймдрамон
446,char_KNIGHTMON,Knightmon,Найтмон
447,char_CYBERDRAMON,Cyberdramon,Кибердрамон
448,char_SILPHYMON,Silphymon,Сильфимон
449,char_YATAGARAMON,Crowmon,Ятагарамон
450,char_RAPIDMON,Rapidmon,Рэпидмон
451,char_SHAKKOUMON,Shakkoumon,Шаккумон
452,char_BRAKIMON,Brachiomon,Брахимон
453,char_ULTIMATEBRAKIMON,UltimateBrachiomon,УльтимаБрачиомон
454,char_WISEMON,Wisemon,Вайзмон
455,char_CANNONBEEMON,CannonBeemon,КэнонБиимон
456,char_SOLARMON,Solarmon,Солармон
457,char_GEREMON,Geremon,Геремон
458,char_ICEDEVIMON,IceDevimon,АйсДевимон
459,char_ANTYLAMON,Antylamon,Антиламон
460,char_IMPERIALDRAMON_DM,Imperialdramon DM,Империалдрамон: Режим дракона
461,char_DIANAMON,Dianamon,Дианамон
462,char_DIANAMON_BIG,Dianamon,Дианамон
463,char_CRANIAMON,Craniamon,Краниамон
464,char_CRANIAMON_BIG,Craniamon,Краниамон
465,char_KERPYMON_GOOD,Cherubimon (Good),Херувимон (Добродетельный)
466,char_JUSTIMON,Justimon,Джастимон
467,char_DYNASMON,Dynasmon,Динасмон
468,char_DYNASMON_BIG,Dynasmon,Динасмон
469,char_DUFTMON,Leopardmon,Дуфтмон
470,char_DUFTMON_BIG,Leopardmon,Дуфтмон
471,char_RAVEMON,Ravemon,Равемон
472,char_SAINTGALGOMON,MegaGargomon,Сен Гальгомон
473,char_SAINTGALGOMON_BIG,MegaGargomon,Сен Гальгомон
474,char_LOTOSMON,Lotosmon,Лотосмон
475,char_DUFTMON_LM,Leopardmon LM,Дуфтмон: Режим леопарда
476,char_GAIOMON,Gaiomon,Гайомон
477,char_TIGERVESPAMON,TigerVespamon,ТигерВеспамон
478,char_MINERVAMON,Minervamon,Минервамон
479,char_MASTEMON,Mastemon,Мастемон
480,char_JESMON,Jesmon,Джесмон
481,char_JESMON_BIG,Jesmon,Джесмон
482,char_LOPMON,Lopmon,Лопмон
483,char_RAPIDMON_ARMOR,Rapidmon (Armor),Рапидмон (Броня)
484,char_RAPIDMON_ARMOR_BIG,Rapidmon (Armor),Рапидмон (Броня)
485,char_PLATINUM_SCUMON,PlatinumSukamon,ПлатинаСукамон
486,char_BLACKKINGNUMEMON,BlackKingNumemon,БлэкКингНумемон
487,char_KUZUHAMON,Kuzuhamon,Кудзухамон
488,char_SOCERIMON,Sorcermon,Сорсеримон
489,char_INSEKIMON,Meteormon,Инсэкимон
490,char_OMEGAMON_ZWART,Omnimon Zwart,Омегамон Цварт
491,char_ICEMON,Icemon,Айсмон
492,char_TUCHIDARUMON,MudFrigimon,МудФригимон
493,char_GUARDROMON_GL,Guardromon (Gold),Гардромон (золотой)
